Fiscal_Year,Query_Run,Customer,SubCustomer,AnnualSubCustomerVendorRank,ContractorDisplayName,ParentID,JointVenture,SumOfobligatedAmount,SumOfnumberOfActions,WarningFlag
2000,59:34.8,State and IAP,USAID,0,1889141^!,1889141,NULL,1500000,1,1
2000,59:34.8,State and IAP,State,0,499252559^!,499252559,NULL,1498000,1,1
2000,59:34.8,State and IAP,State,0,796633535^!,796633535,NULL,1487000,6,1
2000,59:34.8,State and IAP,State,0,182789412^!,182789412,NULL,1486000,4,1
2000,59:34.8,State and IAP,State,52,TRIUMPH GROUP^,TRIUMPH GROUP,0,1459000,11,0
2000,59:34.8,State and IAP,State,0,645191156^!,645191156,NULL,1456000,11,1
2000,59:34.8,State and IAP,USAID,0,63656359^!,63656359,NULL,1449000,1,1
2000,59:34.8,State and IAP,State,0,283792042^!,283792042,NULL,1441000,2,1
2000,59:34.8,State and IAP,State,0,74801051^!,74801051,NULL,1407000,6,1
2000,59:34.8,State and IAP,USAID,49,CRIMSON CAPITAL^,CRIMSON CAPITAL,0,1400000,1,0
2000,59:34.8,State and IAP,State,0,619756828^!,619756828,NULL,1388000,7,1
2000,59:34.8,State and IAP,State,0,499414415^!,499414415,NULL,1385000,1,1
2000,59:34.8,State and IAP,USAID,50,GLOBAL CONTAINER LINE^,GLOBAL CONTAINER LINE,0,1377000,3,0
2000,59:34.8,State and IAP,State,0,101927614^!,101927614,NULL,1331096.81,2,1
2000,59:34.8,State and IAP,USAID,51,ROE ENTERPRISES^,ROE ENTERPRISES,0,1325000,2,0
2000,59:34.8,State and IAP,State,53,CANON^,CANON,0,1299000,14,0
2000,59:34.8,State and IAP,State,0,499253177^!,499253177,NULL,1299000,1,1
2000,59:34.8,State and IAP,USAID,0,393050513^!,393050513,NULL,1292000,2,1
2000,59:34.8,State and IAP,State,0,884142191^!,884142191,NULL,1291000,19,1
2000,59:34.8,State and IAP,State,0,56283336^!,56283336,NULL,1285000,7,1
2000,59:34.8,State and IAP,State,0,185138708^!,185138708,NULL,1276000,9,1
2000,59:34.8,State and IAP,State,54,SMM ENTERPRISES^,SMM ENTERPRISES,0,1268000,11,0
