fiscal_year,Customer,SubCustomer,PlatformPortfolio,SumOfnumberOfActions,SumOfobligatedAmount
2008,Defense,Other DoD,Other R&D and Knowledge Based,8159,2794559729
2009,Defense,Air Force,Other R&D and Knowledge Based,34037,13720900650
2009,Defense,Air Force,Ships & Submarines,141,10865774.05
2009,Defense,Army,NULL,24,1180254.54
2009,Defense,Navy,Weapons and Ammunition,4825,4151250250
2009,Defense,Other DoD,NULL,4,-12077.81
2009,Defense,Other DoD,Land Vehicles,294,3901246
2010,Defense,Air Force,NULL,2,0
2010,Defense,Air Force,Other Products,10573,607373517.6
2010,Defense,Air Force,Other Services,11414,4763853426
2010,Defense,Air Force,Unmanned,43,174639098.2
2010,Defense,Army,Facilities and Construction,205122,39816534961
2010,Defense,DLA,Facilities and Construction,69177,2783865175
2010,Defense,DLA,Weapons and Ammunition,3547,179171254.5
2010,Defense,MDA,Electronics and Communications,79,11906027.68
2010,Defense,MDA,Other Services,12,1518066.45
2010,Defense,MilitaryHealth,Electronics and Communications,49,2372737.14
2005,Defense,Air Force,Other R&D and Knowledge Based,20117,8672225123
2005,Defense,Air Force,Ships & Submarines,131,5461635
2005,Defense,Army,Land Vehicles,13668,10736582484
2005,Defense,DLA,Land Vehicles,30043,627893268
2005,Defense,MDA,Electronics and Communications,39,23169047
2005,Defense,MDA,Facilities and Construction,298,184592578.7
2005,Defense,Navy,Unmanned,34,34196652
2005,Defense,Other DoD,Other R&D and Knowledge Based,5582,2902459057
2006,Defense,Air Force,NULL,NULL,0
2006,Defense,DLA,Other Services,463,79892346.32
2006,Defense,MDA,Electronics and Communications,52,28701267
2006,Defense,Other DoD,NULL,44,4374098.04
2006,Defense,Other DoD,Land Vehicles,238,16577572.6
2006,Defense,Other DoD,Other R&D and Knowledge Based,6297,3319257454
2006,Defense,Other DoD,Ships & Submarines,174,26382384.58
2007,Defense,Air Force,Electronics and Communications,37361,9241157357
2007,Defense,Air Force,Unmanned,39,69433608.88
2007,Defense,Army,Facilities and Construction,158776,27199121683
2007,Defense,Army,Other R&D and Knowledge Based,61880,21828644025
2007,Defense,Army,Other Services,33451,8897494370
2007,Defense,DLA,Facilities and Construction,67478,2977122865
2007,Defense,DLA,Other R&D and Knowledge Based,2281,229172062.3
2007,Defense,DLA,Other Services,473,96284463.27
2007,Defense,MDA,Other Services,7,892273
2007,Defense,MilitaryHealth,Electronics and Communications,62,851262.81
2007,Defense,Navy,Aircraft and Drones,12071,18843871804
2007,Defense,Navy,Missile and Space Systems,1741,4750354560
2007,Defense,Other DoD,NULL,3,0
2007,Defense,Other DoD,Facilities and Construction,4069,515636063.5
2007,Defense,Other DoD,Land Vehicles,221,33443801.01
2008,Defense,Air Force,Electronics and Communications,35666,9381221965
2008,Defense,Air Force,Ships & Submarines,136,8108654.75
2008,Defense,Air Force,Unmanned,64,65533512.02
2008,Defense,Army,Land Vehicles,14539,23850438104
2008,Defense,Army,Other R&D and Knowledge Based,66493,24331631632
2008,Defense,Army,Ships & Submarines,1529,205168093.7
2008,Defense,DLA,NULL,NULL,0
2008,Defense,DLA,Land Vehicles,40611,1150427738
2008,Defense,DLA,Other R&D and Knowledge Based,2160,332982313
2008,Defense,DLA,Ships & Submarines,4031,219866974.5
2008,Defense,MDA,Other Services,14,304336.86
2008,Defense,Navy,Missile and Space Systems,1698,4117083349
2008,Defense,Other DoD,Electronics and Communications,41715,5099740186
2008,Defense,Other DoD,Facilities and Construction,4407,534209862.3
2009,Defense,Air Force,Aircraft and Drones,12048,17489513893
2009,Defense,MDA,Electronics and Communications,72,3435208.03
2009,Defense,Other DoD,Electronics and Communications,41179,5730012170
2009,Defense,Other DoD,Ships & Submarines,1197,142765957.2
2010,Defense,Army,Electronics and Communications,70554,16395372995
2010,Defense,Army,Other Services,40739,14092826343
2010,Defense,Army,Unmanned,271,1152307534
2010,Defense,DLA,Electronics and Communications,58617,2209355854
2010,Defense,DLA,Unmanned,1,-96000
2010,Defense,MDA,Missile and Space Systems,2000,4181315466
2010,Defense,Other DoD,Other Services,10631,5026611962
2010,Defense,Other DoD,Ships & Submarines,1653,156673059
2010,Defense,Other DoD,Unmanned,29,51239220.19
2011,Defense,Army,Electronics and Communications,65705,13670600379
2011,Defense,Army,Ships & Submarines,1419,194672531.2
2011,Defense,Army,Unmanned,264,1496240114
2011,Defense,DLA,Aircraft and Drones,54949,3865798409
2005,Defense,DLA,Aircraft and Drones,41434,1249136417
2005,Defense,DLA,Electronics and Communications,70626,1858317412
2005,Defense,MDA,Missile and Space Systems,293,694635798
2005,Defense,Navy,Other R&D and Knowledge Based,41431,8454331480
2005,Defense,Other DoD,Missile and Space Systems,38,20766291
2006,Defense,Air Force,Missile and Space Systems,2645,7073669837
2006,Defense,Army,Missile and Space Systems,2855,4113190962
2006,Defense,DLA,Missile and Space Systems,549,9923599
2006,Defense,MDA,Other Products,4,121470
2006,Defense,MDA,Weapons and Ammunition,1,521163
2006,Defense,MilitaryHealth,Facilities and Construction,36,575262.2
2006,Defense,MilitaryHealth,Other R&D and Knowledge Based,17,6476288
2006,Defense,Navy,NULL,280,6847111.09
2006,Defense,Navy,Land Vehicles,6551,1124415751
2006,Defense,Navy,Weapons and Ammunition,3496,2779551575
2007,Defense,Air Force,Other Products,21444,805749479.1
2007,Defense,Army,Aircraft and Drones,7678,5611030075
2007,Defense,Navy,Other R&D and Knowledge Based,44371,11097510185
2007,Defense,Other DoD,Aircraft and Drones,1032,428265236.8
2007,Defense,Other DoD,Missile and Space Systems,27,18836814.04
2008,Defense,Army,Missile and Space Systems,4270,6550037948
2008,Defense,Army,Weapons and Ammunition,8361,9006928824
2008,Defense,DLA,Missile and Space Systems,414,12185297
2008,Defense,MDA,Weapons and Ammunition,3,-60417
2008,Defense,MilitaryHealth,Facilities and Construction,26,320005.99
2008,Defense,Navy,NULL,8,-2375.52
2008,Defense,Navy,Land Vehicles,7542,9762107408
2008,Defense,Navy,Other Services,25600,3830619702
2008,Defense,Other DoD,Other Products,1255,114865207.9
2009,Defense,Air Force,Facilities and Construction,74943,8610280100
2009,Defense,Air Force,Other Products,25500,780753191.1
2009,Defense,Air Force,Weapons and Ammunition,4025,3345239308
2009,Defense,Army,Other Products,77181,5473845429
2009,Defense,DLA,Other Products,283104,28776513354
2009,Defense,MDA,Other R&D and Knowledge Based,1111,1721782739
2009,Defense,Navy,Facilities and Construction,82417,12315062703
2009,Defense,Navy,Other R&D and Knowledge Based,47881,13362333712
2009,Defense,Navy,Ships & Submarines,24436,16652700170
2009,Defense,Other DoD,Aircraft and Drones,3008,767319965.9
2010,Defense,Air Force,Other R&D and Knowledge Based,35352,12064162304
2010,Defense,Army,NULL,18,-47863.44
2010,Defense,Army,Missile and Space Systems,3811,6514390583
2010,Defense,Army,Weapons and Ammunition,7355,7829612412
2010,Defense,MDA,Land Vehicles,4,64454.58
2010,Defense,MDA,Weapons and Ammunition,14,33150057
2010,Defense,MilitaryHealth,Other Services,1176,10903187186
2010,Defense,Navy,Other Services,27518,4064702350
2010,Defense,Other DoD,Other Products,1570,22044446.39
2010,Defense,Other DoD,Weapons and Ammunition,620,15073439.46
2011,Defense,Air Force,Facilities and Construction,92934,7001401255
2011,Defense,Air Force,Land Vehicles,1489,95840569.14
2011,Defense,Air Force,Weapons and Ammunition,4693,3375273893
2011,Defense,Army,Other Products,51769,4424439316
2011,Defense,DLA,Other Products,331794,24465736837
2011,Defense,DLA,Weapons and Ammunition,3893,195539585.5
2011,Defense,MDA,Other R&D and Knowledge Based,1485,1000424845
2011,Defense,Navy,Electronics and Communications,86205,14080758177
2011,Defense,Navy,Facilities and Construction,79293,12119379369
2011,Defense,Navy,Ships & Submarines,25501,22715804538
2012,Defense,Air Force,Other R&D and Knowledge Based,30457,12383758121
2004,Defense,MDA,Aircraft and Drones,1,8316267
2004,Defense,MDA,Missile and Space Systems,193,336907957
2005,Defense,Air Force,Missile and Space Systems,2375,5593658364
2005,Defense,MDA,Other Products,5,31354
2005,Defense,MilitaryHealth,Other R&D and Knowledge Based,16,3054324
2005,Defense,Navy,Land Vehicles,6693,1118546442
2005,Defense,Navy,Weapons and Ammunition,3330,2375610794
2006,Defense,Air Force,Other Products,33190,840828363.6
2006,Defense,Army,Aircraft and Drones,5930,5420639638
2006,Defense,DLA,Aircraft and Drones,42964,1551179904
2006,Defense,Navy,Other R&D and Knowledge Based,38853,9695250265
2006,Defense,Other DoD,Aircraft and Drones,462,263519214.6
2006,Defense,Other DoD,Missile and Space Systems,35,18015204.87
2007,Defense,Army,Missile and Space Systems,4441,4364969882
2007,Defense,Army,Weapons and Ammunition,8349,7296424170
2007,Defense,DLA,Missile and Space Systems,327,9586490
2007,Defense,MDA,Other Products,9,325097
2007,Defense,MilitaryHealth,Facilities and Construction,64,1008438.22
2007,Defense,Navy,NULL,9,64467.27
2007,Defense,Navy,Land Vehicles,7714,4631793908
2007,Defense,Navy,Other Services,23765,4129516554
2007,Defense,Other DoD,Other Products,1071,60225639
2008,Defense,Air Force,Other Products,21099,673707570.9
2008,Defense,Air Force,Weapons and Ammunition,3449,2522999618
2008,Defense,DLA,Other Products,323925,26991997925
2008,Defense,Navy,Facilities and Construction,82539,11846386677
2008,Defense,Navy,Other R&D and Knowledge Based,45401,11440377698
2008,Defense,Navy,Ships & Submarines,22526,14952954126
2008,Defense,Other DoD,Aircraft and Drones,1272,429244497.6
2008,Defense,Other DoD,Missile and Space Systems,36,15517648.84
2009,Defense,Army,Missile and Space Systems,3628,6970882797
2009,Defense,Army,Weapons and Ammunition,8351,8159603283
2009,Defense,DLA,Missile and Space Systems,407,53286375.62
2009,Defense,MDA,Land Vehicles,4,365524
2009,Defense,MDA,Weapons and Ammunition,11,-217846.73
2009,Defense,MilitaryHealth,Facilities and Construction,27,336646.6
2009,Defense,MilitaryHealth,Other Services,799,11810040466
2009,Defense,Navy,NULL,2,48177.34
2009,Defense,Navy,Land Vehicles,6226,3733388318
2009,Defense,Navy,Other Services,26623,4122238199
2009,Defense,Other DoD,Other Products,1373,43171961.49
2010,Defense,Air Force,Facilities and Construction,86935,7652042036
2010,Defense,Air Force,Land Vehicles,1603,92493390.75
2010,Defense,Air Force,Weapons and Ammunition,4573,3584913550
2010,Defense,Army,Other Products,66345,4713276462
2010,Defense,DLA,Other Products,297232,23312657164
2010,Defense,MDA,Other R&D and Knowledge Based,1261,1092010580
2010,Defense,Navy,Electronics and Communications,82372,13957708815
2010,Defense,Navy,Facilities and Construction,80851,12340299509
2010,Defense,Navy,Ships & Submarines,26956,12304216427
2011,Defense,Air Force,Other R&D and Knowledge Based,34628,11801347591
2011,Defense,Army,NULL,28,-60234.57
2011,Defense,MDA,Land Vehicles,9,465278.06
2011,Defense,MilitaryHealth,Other Services,1301,11757136585
2011,Defense,Other DoD,Weapons and Ammunition,557,24761040.47
2012,Defense,Air Force,Facilities and Construction,76739,6381677626
2012,Defense,Air Force,Land Vehicles,1519,98018991.15
2012,Defense,Air Force,Other Services,12476,6495099579
2012,Defense,Army,Other Products,43024,3066280642
2012,Defense,DLA,Facilities and Construction,71004,2533431836
2012,Defense,DLA,Other Products,321382,31745336186
2004,Defense,MilitaryHealth,Facilities and Construction,4,137548
2004,Defense,Navy,NULL,2,38350
2004,Defense,Navy,Land Vehicles,4710,923300471.8
2004,Defense,Navy,Missile and Space Systems,1321,4942287112
2004,Defense,Other DoD,Facilities and Construction,3717,938128044.2
2005,Defense,Air Force,Aircraft and Drones,11526,17034031002
2005,Defense,Army,Missile and Space Systems,2794,3293983983
2005,Defense,Army,Other Products,78328,8779261124
2005,Defense,Army,Weapons and Ammunition,5585,7471058076
2005,Defense,DLA,NULL,1,2350
2005,Defense,DLA,Missile and Space Systems,590,13876054
2005,Defense,DLA,Other Products,387285,21332204852
2005,Defense,Navy,Facilities and Construction,80104,7882588663
2005,Defense,Other DoD,Aircraft and Drones,368,209576745.4
2005,Defense,Other DoD,Electronics and Communications,19260,5311199409
2005,Defense,Other DoD,Weapons and Ammunition,148,64278721.64
2006,Defense,Army,NULL,237,101406156.7
2006,Defense,MDA,Other R&D and Knowledge Based,584,2425530794
2006,Defense,Navy,Electronics and Communications,77620,11247710422
2006,Defense,Navy,Other Services,20860,4370831930
2007,Defense,Air Force,Other Services,13459,5450231548
2007,Defense,Army,Electronics and Communications,75220,14504955568
2007,Defense,Army,Unmanned,136,562395016.9
2007,Defense,DLA,Electronics and Communications,55926,1439153670
2007,Defense,DLA,Weapons and Ammunition,3779,124278302
2007,Defense,MDA,Land Vehicles,9,80454
2007,Defense,MDA,Missile and Space Systems,1201,2178904579
2007,Defense,MilitaryHealth,Other Services,822,9060032678
2007,Defense,Navy,Ships & Submarines,23717,13152747926
2007,Defense,Other DoD,Other Services,3393,605750113
2007,Defense,Other DoD,Unmanned,4,2374156
2008,Defense,Air Force,Facilities and Construction,73515,7772426573
2008,Defense,Air Force,Other R&D and Knowledge Based,33277,11246462182
2008,Defense,Army,Aircraft and Drones,6695,9892486956
2008,Defense,DLA,Aircraft and Drones,58500,2217394007
2008,Defense,MDA,Facilities and Construction,155,56218434.89
2008,Defense,Navy,Other Products,44408,1546496986
2008,Defense,Navy,Unmanned,70,40242572.24
2009,Defense,Air Force,NULL,1,-4570.18
2009,Defense,Air Force,Land Vehicles,2057,118091205.4
2009,Defense,Air Force,Missile and Space Systems,3396,9355126460
2009,Defense,MilitaryHealth,Other R&D and Knowledge Based,20,7086949.93
2009,Defense,Other DoD,Other R&D and Knowledge Based,9535,3265525862
2009,Defense,Other DoD,Weapons and Ammunition,365,52482062.98
2010,Defense,DLA,Other Services,457,91483601.29
2010,Defense,Navy,Other R&D and Knowledge Based,49065,13581596862
2010,Defense,Navy,Weapons and Ammunition,4964,3089189239
2010,Defense,Other DoD,NULL,12,-258864.67
2010,Defense,Other DoD,Land Vehicles,375,-236560309.8
2010,Defense,Other DoD,Missile and Space Systems,433,-39355881.52
2011,Defense,Air Force,Electronics and Communications,30436,9035014002
2011,Defense,Air Force,Other Services,12031,4884216140
2011,Defense,Air Force,Unmanned,73,233430434.3
2011,Defense,Army,Facilities and Construction,192650,33696791532
2011,Defense,Army,Other R&D and Knowledge Based,58711,22603659777
2011,Defense,DLA,Facilities and Construction,79383,2954704484
2011,Defense,DLA,Other R&D and Knowledge Based,1534,267861881.7
2011,Defense,MDA,Other Products,4,106311.49
2011,Defense,MDA,Other Services,16,542978.69
2011,Defense,MilitaryHealth,Electronics and Communications,216,6246374.69
2011,Defense,MilitaryHealth,Facilities and Construction,80,735866.39
2005,Defense,DLA,Other Services,349,99618685.15
2005,Defense,MDA,Land Vehicles,6,55922
2005,Defense,MilitaryHealth,Other Products,3,1503094
2005,Defense,MilitaryHealth,Other Services,569,6397889563
2005,Defense,Navy,Ships & Submarines,19456,11019798858
2005,Defense,Other DoD,Other Products,3862,707259005
2005,Defense,Other DoD,Other Services,1970,651550038.6
2006,Defense,Air Force,Electronics and Communications,29735,7638874727
2006,Defense,Air Force,Facilities and Construction,58858,8018593925
2006,Defense,Air Force,Other R&D and Knowledge Based,22246,9997946254
2006,Defense,Air Force,Weapons and Ammunition,2577,2559279149
2006,Defense,Army,Ships & Submarines,961,148878290.9
2006,Defense,DLA,Ships & Submarines,5035,221831815
2006,Defense,Navy,Missile and Space Systems,1457,4890922810
2006,Defense,Navy,Other Products,37597,2014648526
2007,Defense,Air Force,NULL,NULL,0
2007,Defense,Air Force,Aircraft and Drones,15126,24901878789
2007,Defense,Air Force,Land Vehicles,2613,313083782.8
2007,Defense,Air Force,Missile and Space Systems,3509,6811208359
2007,Defense,Army,Other Products,108509,9019966425
2007,Defense,DLA,Other Products,288819,23648398741
2007,Defense,MDA,Aircraft and Drones,3,399999
2007,Defense,MilitaryHealth,Other R&D and Knowledge Based,21,7884183.3
2007,Defense,Navy,Facilities and Construction,79518,9827420019
2007,Defense,Other DoD,Electronics and Communications,41740,5326498210
2007,Defense,Other DoD,Weapons and Ammunition,212,83619802.14
2008,Defense,Army,NULL,159,588569.71
2008,Defense,MDA,Other R&D and Knowledge Based,816,2349176068
2008,Defense,Navy,Electronics and Communications,98106,13593123778
2008,Defense,Navy,Weapons and Ammunition,5033,2880646368
2008,Defense,Other DoD,NULL,22,761828.98
2008,Defense,Other DoD,Land Vehicles,219,30716732.84
2009,Defense,Air Force,Other Services,10877,4775083477
2009,Defense,Air Force,Unmanned,36,32200396.62
2009,Defense,Army,Electronics and Communications,73708,16427565659
2009,Defense,Army,Facilities and Construction,195979,43903330496
2009,Defense,DLA,Electronics and Communications,49469,1702457765
2009,Defense,DLA,Facilities and Construction,67342,2379545271
2009,Defense,DLA,Other R&D and Knowledge Based,2208,380735273
2009,Defense,DLA,Weapons and Ammunition,3141,108878538.5
2009,Defense,MDA,Missile and Space Systems,1960,3909891706
2009,Defense,MDA,Other Products,5,109425.56
2009,Defense,MilitaryHealth,Electronics and Communications,31,1260098.41
2009,Defense,Navy,Aircraft and Drones,11725,22551572747
2009,Defense,Other DoD,Unmanned,18,12225798.93
2010,Defense,Air Force,Ships & Submarines,115,5410432.22
2010,Defense,Army,Aircraft and Drones,6151,8391835788
2010,Defense,Army,Land Vehicles,13303,17054073132
2010,Defense,DLA,NULL,4,-17073.24
2010,Defense,DLA,Aircraft and Drones,58735,3894204360
2010,Defense,DLA,Land Vehicles,33789,1353577078
2010,Defense,DLA,Missile and Space Systems,579,37847701.78
2010,Defense,MDA,Facilities and Construction,192,36957454.42
2010,Defense,Navy,Unmanned,70,86737333.69
2010,Defense,Other DoD,Aircraft and Drones,4098,753098488.6
2011,Defense,Air Force,Other Products,10855,746387542.3
2011,Defense,MDA,Electronics and Communications,53,7475162.89
2011,Defense,MDA,Weapons and Ammunition,82,169795330.7
2011,Defense,MilitaryHealth,Other R&D and Knowledge Based,137,15687727.3
2011,Defense,Navy,Other Services,26057,4422845645
2011,Defense,Other DoD,Other R&D and Knowledge Based,12455,3622683791
2012,Defense,Army,NULL,12,-648621.43
2012,Defense,MDA,Land Vehicles,7,146449.23
2012,Defense,MilitaryHealth,Other Services,1022,11713493705
2012,Defense,Other DoD,Land Vehicles,373,2557794.57
2012,Defense,Other DoD,Weapons and Ammunition,690,17759397.05
2013,Defense,Air Force,Land Vehicles,1233,90765547.55
2013,Defense,Air Force,Other Services,12463,5257884274
2013,Defense,Air Force,Unmanned,101,244634533
2013,Defense,Army,Facilities and Construction,144733,23664524856
2013,Defense,DLA,Facilities and Construction,67743,2544573081
2013,Defense,DLA,Land Vehicles,24949,743492310
2013,Defense,DLA,Weapons and Ammunition,4941,256423052.4
2013,Defense,MDA,Facilities and Construction,111,27703108.58
2013,Defense,MDA,Ships & Submarines,10,12285988.75
2013,Defense,MilitaryHealth,Electronics and Communications,311,72619693.36
2013,Defense,Navy,Aircraft and Drones,10540,31601580501
2013,Defense,Navy,Electronics and Communications,71537,11876690825
2013,Defense,Navy,Unmanned,99,201382991.4
2013,Defense,Other DoD,Other R&D and Knowledge Based,12901,3397611643
2014,Defense,Air Force,Other R&D and Knowledge Based,25937,11681743307
2014,Defense,Air Force,Ships & Submarines,234,7635124.586
2014,Defense,Army,Other R&D and Knowledge Based,38327,14153864093
2014,Defense,DLA,Other R&D and Knowledge Based,1321,456391152.4
2014,Defense,Other DoD,Land Vehicles,420,40839294.23
2011,Defense,Navy,NULL,5,-14505.73
2011,Defense,Navy,Aircraft and Drones,10907,24013955290
2011,Defense,Navy,Land Vehicles,5679,3611459677
2011,Defense,Navy,Missile and Space Systems,1601,3597916421
2011,Defense,Other DoD,Facilities and Construction,6207,439459382.1
2012,Defense,Air Force,Ships & Submarines,172,64741412.42
2012,Defense,Army,Land Vehicles,10167,6916421191
2012,Defense,Army,Missile and Space Systems,3243,5696676892
2012,Defense,Army,Weapons and Ammunition,5968,5347618650
2012,Defense,DLA,Land Vehicles,25708,1059036825
2012,Defense,DLA,Missile and Space Systems,521,28188373.35
2012,Defense,Other DoD,Aircraft and Drones,4562,871910183.8
2013,Defense,Air Force,Other Products,5382,445230759
2013,Defense,MDA,Electronics and Communications,118,64244420.26
2013,Defense,MDA,Other R&D and Knowledge Based,1455,1439894694
2013,Defense,MDA,Weapons and Ammunition,71,352775242.9
2013,Defense,Navy,Other Services,21286,3794576381
2013,Defense,Other DoD,Ships & Submarines,938,93039720.19
2014,Defense,Army,Electronics and Communications,42022,9669935320
2014,Defense,Army,Other Services,21211,5354156753
2014,Defense,Army,Unmanned,283,691895959.3
2014,Defense,DLA,Electronics and Communications,64176,2373448815
2014,Defense,DLA,Unmanned,2,37484784
2014,Defense,MDA,Land Vehicles,10,62052.84
2014,Defense,MDA,Missile and Space Systems,2451,3948324149
2014,Defense,MilitaryHealth,Other Products,17,3098476.797
2014,Defense,MilitaryHealth,Other Services,952,12581060239
2014,Defense,Navy,Ships & Submarines,21669,19762595977
2014,Defense,Other DoD,Other Products,2149,48988227.97
2014,Defense,Other DoD,Other Services,11437606,4507524668
2014,Defense,Other DoD,Unmanned,6,-64438618.03
2011,Defense,DLA,Electronics and Communications,61227,2463207380
2011,Defense,DLA,Ships & Submarines,11446,747662341
2011,Defense,MDA,Missile and Space Systems,2290,4167327066
2011,Defense,Navy,Other Products,35682,1831550672
2011,Defense,Other DoD,Other Services,11109022,7736087022
2011,Defense,Other DoD,Unmanned,27,85354670.27
2012,Defense,Air Force,Aircraft and Drones,10390,21790013231
2012,Defense,Air Force,Missile and Space Systems,3066,9571841633
2012,Defense,Army,Aircraft and Drones,6202,10912642018
2012,Defense,DLA,Aircraft and Drones,55494,3665085434
2012,Defense,MilitaryHealth,Other R&D and Knowledge Based,572,66036107.09
2012,Defense,MilitaryHealth,Weapons and Ammunition,1,720.95
2012,Defense,Navy,Other Products,32685,1465469478
2012,Defense,Other DoD,Electronics and Communications,82750,7336201175
2013,Defense,Air Force,Missile and Space Systems,2784,5725527421
2013,Defense,MilitaryHealth,Land Vehicles,1,34500
2013,Defense,MilitaryHealth,Other R&D and Knowledge Based,494,246599536.7
2013,Defense,Navy,Weapons and Ammunition,3973,2486505530
2013,Defense,Other DoD,Missile and Space Systems,470,-12464180.2
2014,Defense,Navy,Land Vehicles,8756,516802531.3
2014,Defense,Navy,Other R&D and Knowledge Based,43348,10652704781
2014,Defense,Navy,Weapons and Ammunition,4068,2958053023
2014,Defense,Other DoD,Missile and Space Systems,360,8219656.97
2011,Defense,Other DoD,Ships & Submarines,1790,155474671.5
2012,Defense,Army,Other Services,41879,10945762815
2012,Defense,Army,Unmanned,306,1788464507
2012,Defense,DLA,Other Services,601,72932431.31
2012,Defense,DLA,Unmanned,4,345232.53
2012,Defense,MilitaryHealth,Other Products,86,1302586.57
2012,Defense,Navy,Other R&D and Knowledge Based,44949,12784878630
2012,Defense,Other DoD,Missile and Space Systems,372,-37795331.79
2012,Defense,Other DoD,Other Products,1257,25682045.74
2013,Defense,Air Force,Electronics and Communications,22869,7399044604
2013,Defense,Air Force,Facilities and Construction,64365,5225537008
2013,Defense,Air Force,Weapons and Ammunition,3742,2640998592
2013,Defense,Army,Other R&D and Knowledge Based,43968,17153503345
2013,Defense,Army,Ships & Submarines,1491,171347024
2013,Defense,DLA,Ships & Submarines,7600,884740181
2013,Defense,MDA,Other Services,12,3111305.461
2013,Defense,MilitaryHealth,Facilities and Construction,273,7876362.126
2013,Defense,Navy,Land Vehicles,6324,469557974.8
2013,Defense,Navy,Missile and Space Systems,1334,4133994954
2013,Defense,Navy,Other Products,30875,1400535205
2013,Defense,Other DoD,Facilities and Construction,12050,407527825.2
2014,Defense,Air Force,Aircraft and Drones,9063,15318284179
2014,Defense,Army,Missile and Space Systems,2924,3377014055
2014,Defense,Army,Other Products,35990,2331750369
2014,Defense,Army,Weapons and Ammunition,4768,3520292449
2014,Defense,DLA,Other Products,341295,21101410889
2014,Defense,Navy,Facilities and Construction,66148,9750382161
2014,Defense,Other DoD,Electronics and Communications,74024,6995282629
2014,Defense,Other DoD,Weapons and Ammunition,667,4034289.833
2010,Defense,Navy,Aircraft and Drones,11331,19284609800
2010,Defense,Other DoD,Other R&D and Knowledge Based,11813,3667801075
2011,Defense,Air Force,Ships & Submarines,128,74046282.64
2011,Defense,Army,Missile and Space Systems,3159,6128106095
2011,Defense,Army,Weapons and Ammunition,7030,6654665600
2011,Defense,DLA,Missile and Space Systems,552,18171353.5
2011,Defense,MilitaryHealth,Other Products,9,65498.44
2011,Defense,Navy,Weapons and Ammunition,5073,3264010298
2011,Defense,Other DoD,NULL,3,-90926.1
2011,Defense,Other DoD,Land Vehicles,376,-246229274.9
2011,Defense,Other DoD,Other Products,1493,22437062.64
2012,Defense,Air Force,Other Products,6025,590716940.4
2012,Defense,Air Force,Unmanned,80,309662772.3
2012,Defense,Air Force,Weapons and Ammunition,4155,3141488561
2012,Defense,Army,Facilities and Construction,177089,30309537077
2012,Defense,MDA,Electronics and Communications,72,44555612.76
2012,Defense,MDA,Other Services,1,38748.81
2012,Defense,Other DoD,Facilities and Construction,7682,387473805.3
2012,Defense,Other DoD,Ships & Submarines,1710,174597434.9
2013,Defense,Air Force,Aircraft and Drones,9683,16834584165
2013,Defense,Army,Missile and Space Systems,3120,3896061967
2013,Defense,Army,Weapons and Ammunition,5202,3974143231
2013,Defense,DLA,Missile and Space Systems,676,15977637.7
2013,Defense,MDA,Land Vehicles,18,553396.1147
2013,Defense,MilitaryHealth,Other Products,38,2572134.906
2013,Defense,MilitaryHealth,Other Services,831,11770749364
2013,Defense,Other DoD,Other Products,1221,17353652.05
2014,Defense,Air Force,Facilities and Construction,47143,6207183205
2014,Defense,Air Force,Weapons and Ammunition,3021,1810066043
2014,Defense,MDA,Other R&D and Knowledge Based,1556,1933870589
2014,Defense,Navy,Other Products,27515,1236502161
2014,Defense,Other DoD,Facilities and Construction,9859,297634953.1
2014,Defense,Other DoD,Ships & Submarines,645,100177266.1
2012,Defense,DLA,Weapons and Ammunition,4505,254618315.6
2012,Defense,MDA,Facilities and Construction,142,27788883.28
2012,Defense,MDA,Other R&D and Knowledge Based,1474,1555703322
2012,Defense,MilitaryHealth,Electronics and Communications,1022,73755997.56
2012,Defense,MilitaryHealth,Ships & Submarines,NULL,0
2012,Defense,Navy,Aircraft and Drones,10978,25219147852
2012,Defense,Navy,Electronics and Communications,76472,12462835638
2012,Defense,Navy,Facilities and Construction,74607,10932964610
2012,Defense,Navy,Ships & Submarines,23146,18474482681
2012,Defense,Navy,Unmanned,120,105716612.1
2012,Defense,Other DoD,Other R&D and Knowledge Based,11307,3603790770
2013,Defense,Air Force,Other R&D and Knowledge Based,29248,11295236149
2013,Defense,Air Force,Ships & Submarines,221,5215307.237
2013,Defense,Army,NULL,29,-251967.04
2013,Defense,DLA,Other R&D and Knowledge Based,1269,368590628.3
2013,Defense,Other DoD,NULL,5,0
2013,Defense,Other DoD,Land Vehicles,367,16620118.63
2013,Defense,Other DoD,Weapons and Ammunition,767,-12730442.7
2014,Defense,Air Force,Land Vehicles,1804,118273340.4
2014,Defense,Air Force,Other Services,12502,6817353055
2014,Defense,Air Force,Unmanned,119,275794158.6
2014,Defense,Army,Facilities and Construction,131728,24369323426
2014,Defense,Army,Land Vehicles,6667,3821526131
2014,Defense,DLA,Facilities and Construction,75425,2872508582
2014,Defense,DLA,Land Vehicles,27722,858362068.3
2014,Defense,DLA,Other Services,624,84180702.57
2014,Defense,DLA,Weapons and Ammunition,5292,232389029.5
2014,Defense,MDA,Electronics and Communications,125,53443052.46
2014,Defense,MDA,Facilities and Construction,111,21957797.52
2014,Defense,MDA,Other Services,19,3038970.215
2014,Defense,MDA,Ships & Submarines,12,2497940.063
2014,Defense,MilitaryHealth,Electronics and Communications,291,126460733.6
2014,Defense,Navy,Aircraft and Drones,9349,20713728598
2014,Defense,Navy,Electronics and Communications,69836,10777863532
