fiscal_year,Query_Run_Date,SingleYearObligatedAmount,SingleYearbaseandexercisedoptionsvalue,SingleYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2010,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,852,2452,532093234.1,2600
2012,42039.73265,$1 - <$5 million,$5 - <$25 million,Less than $250 thousand,8,69,32442476.35,96
2005,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,16,52,8953569.27,52
2006,42039.73265,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,106,392,278251554.5,414
2007,42039.73265,Zero value,Deobligation,Less than $250 thousand,1,1,0,1
2004,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Zero value,3,14,2041518.02,14
2006,42039.73265,$5 - <$25 million,$5 - <$25 million,Less than $250 thousand,5,56,85562371.75,58
2013,42039.73265,$250 thousand - <$1 million,Deobligation,Zero value,8,23,3879587.086,23
2010,42039.73265,$5 - <$25 million,$1 - <$5 million,Less than $250 thousand,4,42,29444254.8,79
2007,42039.73265,Deobligation,$25 - <$100 million,$25 - <$100 million,3,5,-23002354.05,5
2001,42039.73265,Deobligation,Zero value,Zero value,8110,10436,-2246686482,10503
2014,42039.73265,$250 thousand - <$1 million,Zero value,Less than $250 thousand,2,5,934292.7188,5
2003,42039.73265,Zero value,$5 - <$25 million,$25 - <$100 million,1,1,0,1
2003,42039.73265,Zero value,Deobligation,Deobligation,1,1,0,1
2013,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,1462,3318,837880612.6,3364
2011,42039.73265,Less than $250 thousand,Deobligation,Less than $250 thousand,15,55,596507.13,55
2007,42039.73265,Deobligation,Zero value,Less than $250 thousand,3,9,-575716.32,9
2007,42039.73265,Deobligation,$1 - <$5 million,Zero value,1,4,-27814,4
2007,42039.73265,Zero value,$25 - <$100 million,$25 - <$100 million,11,14,0,14
2008,42039.73265,$25 - <$100 million,$250 thousand - <$1 million,$250 thousand - <$1 million,2,31,87606555.19,31
2010,42039.73265,$5 - <$25 million,$25 - <$100 million,$100 - <$500 million,20,173,274681536.9,238
2013,42039.73265,$25 - <$100 million,$5 - <$25 million,$250 thousand - <$1 million,2,38,110167543.1,89
2006,42039.73265,Zero value,Zero value,$25 - <$100 million,2,4,0,4
2013,42039.73265,$5 - <$25 million,Less than $250 thousand,Deobligation,2,31,16320851.83,31
2002,42039.73265,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,14,32,122083975.4,33
2012,42039.73265,$5 - <$25 million,$1 - <$5 million,$250 thousand - <$1 million,4,42,21983488.7,42
2009,42039.73265,$1 - <$5 million,Less than $250 thousand,Deobligation,3,26,3872388.36,27
2006,42039.73265,Less than $250 thousand,$1 - <$5 million,$100 - <$500 million,1,1,12402.76,1
2003,42039.73265,$5 - <$25 million,$25 - <$100 million,$100 - <$500 million,1,4,7374095.79,4
2013,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,Less than $250 thousand,1,6,539583,6
2004,42039.73265,Less than $250 thousand,Zero value,Deobligation,1,2,243128,2
2013,42039.73265,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,3867,18724,39975487137,5345063
2010,42039.73265,Greater than $500 million,$1 - <$5 million,$1 - <$5 million,2,868,1896849018,868
2011,42039.73265,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,388,1745,1097418161,1886
2014,42039.73265,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,85,661,778464963.8,700
2004,42039.73265,$5 - <$25 million,$5 - <$25 million,$100 - <$500 million,1,3,23340000,3
2010,42039.73265,Zero value,$1 - <$5 million,Deobligation,1,2,0,2
2012,42039.73265,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,33,140,107958874.9,156
2012,42039.73265,Deobligation,Zero value,Zero value,11135,13422,-1891309109,13532
2007,42039.73265,$5 - <$25 million,$25 - <$100 million,$5 - <$25 million,1,9,22897221,9
1999,42039.73265,$1 - <$5 million,NULL,NULL,8608,57825,19020848900,58845
2014,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Deobligation,44,240,17486537.59,249
2006,42039.73265,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,22,115,46118651,115
2006,42039.73265,$5 - <$25 million,$5 - <$25 million,Zero value,17,157,192602271,169
2008,42039.73265,$250 thousand - <$1 million,Zero value,Deobligation,2,4,689331,4
2000,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,3,5,394205,5
2014,42039.73265,$25 - <$100 million,$100 - <$500 million,$5 - <$25 million,1,13,40870029,25
2000,42039.73265,$250 thousand - <$1 million,Zero value,$5 - <$25 million,1,2,889000,2
2003,42039.73265,Zero value,Zero value,Less than $250 thousand,2505,2505,0,2505
2012,42039.73265,$1 - <$5 million,$5 - <$25 million,Deobligation,18,155,66357377.85,194
2009,42039.73265,$1 - <$5 million,Less than $250 thousand,$250 thousand - <$1 million,3,20,3329622.56,24
2002,42039.73265,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,1,1,134000000,1
2002,42039.73265,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,4,7,10583175,7
2014,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,646,1290,96377111.54,1315
2013,42039.73265,$25 - <$100 million,$1 - <$5 million,Less than $250 thousand,2,20,138920015.3,20
2009,42039.73265,$1 - <$5 million,$5 - <$25 million,$25 - <$100 million,54,347,155024712.4,425
2012,42039.73265,Deobligation,Less than $250 thousand,Deobligation,35,99,-1087781.34,99
2004,42039.73265,Zero value,NULL,$25 - <$100 million,31,35,0,NULL
2006,42039.73265,Zero value,Deobligation,Deobligation,33,38,0,38
2009,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Less than $250 thousand,34,217,23793051.96,217
2006,42039.73265,$25 - <$100 million,Greater than $500 million,$100 - <$500 million,1,27,90291261,27
2014,42039.73265,Greater than $500 million,Zero value,Zero value,1,21,1245029932,21
2004,42039.73265,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,139,261,294310917.5,272
2002,42039.73265,Deobligation,$250 thousand - <$1 million,Deobligation,1,1,-352005,1
2011,42039.73265,Deobligation,Zero value,Less than $250 thousand,2,5,-23272.76,5
2013,42039.73265,Zero value,NULL,$5 - <$25 million,2092,3731,0,NULL
2008,42039.73265,Deobligation,$25 - <$100 million,$100 - <$500 million,1,7,-3131222.06,7
1990,42039.73265,$5 - <$25 million,NULL,NULL,2163,24719,22722208781,NULL
2010,42039.73265,Zero value,NULL,$25 - <$100 million,1051,2296,0,NULL
2009,42039.73265,$25 - <$100 million,Less than $250 thousand,Less than $250 thousand,2,12,68136124.2,12
2013,42039.73265,Zero value,$100 - <$500 million,Greater than $500 million,5,5,0,5
2009,42039.73265,$25 - <$100 million,$100 - <$500 million,$25 - <$100 million,1,32,96289292.09,32
2008,42039.73265,Less than $250 thousand,$1 - <$5 million,Deobligation,2,10,448819.19,10
2001,42039.73265,Zero value,Less than $250 thousand,Less than $250 thousand,8,8,0,8
2013,42039.73265,$250 thousand - <$1 million,$100 - <$500 million,$100 - <$500 million,16,52,5858981.876,52
2008,42039.73265,Zero value,NULL,$250 thousand - <$1 million,2461,4239,0,NULL
2009,42039.73265,$25 - <$100 million,$25 - <$100 million,$5 - <$25 million,35,737,1390005113,785
2005,42039.73265,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,26,103,1199736368,106
2013,42039.73265,$1 - <$5 million,$25 - <$100 million,Zero value,1,6,2978156.344,6
2010,42039.73265,Deobligation,$250 thousand - <$1 million,Deobligation,7,30,-886482.31,30
2008,42039.73265,$25 - <$100 million,$5 - <$25 million,$5 - <$25 million,18,318,837519237.9,323
2005,42039.73265,$1 - <$5 million,Deobligation,Deobligation,4,10,9457647.92,10
2003,42039.73265,Less than $250 thousand,NULL,$250 thousand - <$1 million,1,2,40775,NULL
2007,42039.73265,$1 - <$5 million,$5 - <$25 million,Less than $250 thousand,3,18,8916021.74,20
2013,42039.73265,Zero value,NULL,Less than $250 thousand,5451,7657,0,NULL
2010,42039.73265,$25 - <$100 million,$25 - <$100 million,Greater than $500 million,4,98,263455254.9,100
2008,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,293,1133,158766744.2,1138
2010,42039.73265,Less than $250 thousand,$1 - <$5 million,Deobligation,2,16,232366.04,16
2002,42039.73265,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,2,2,0,2
2012,42039.73265,$5 - <$25 million,$100 - <$500 million,$100 - <$500 million,4,47,35098004.52,50
2007,42039.73265,Zero value,$5 - <$25 million,$5 - <$25 million,49,67,0,67
2009,42039.73265,$25 - <$100 million,$25 - <$100 million,$100 - <$500 million,40,335,1844720921,375
2011,42039.73265,$25 - <$100 million,$5 - <$25 million,$100 - <$500 million,1,15,27046688.15,15
2010,42039.73265,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,17660,46732,37901689245,90470
2011,42039.73265,Greater than $500 million,$5 - <$25 million,$5 - <$25 million,1,41,2037507267,41
2006,42039.73265,Less than $250 thousand,Less than $250 thousand,$100 - <$500 million,1,1,67545,1
1997,42039.73265,Less than $250 thousand,NULL,NULL,69206,81273,5317016363,81661
2005,42039.73265,Zero value,NULL,$1 - <$5 million,378,465,0,NULL
2007,42039.73265,$25 - <$100 million,$1 - <$5 million,Deobligation,1,7,29757806,7
2005,42039.73265,Zero value,$5 - <$25 million,$5 - <$25 million,12,12,0,12
2012,42039.73265,$5 - <$25 million,$1 - <$5 million,$1 - <$5 million,107,1105,1045404781,1171
2012,42039.73265,$1 - <$5 million,$5 - <$25 million,$1 - <$5 million,19,185,77359988.98,203
2003,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$25 - <$100 million,1,1,886114,1
2003,42039.73265,Zero value,Zero value,$5 - <$25 million,509,509,0,509
2014,42039.73265,Less than $250 thousand,Less than $250 thousand,Deobligation,3556,8140,198074248.1,8153
2010,42039.73265,Zero value,$1 - <$5 million,Zero value,6,12,0,13
2009,42039.73265,Greater than $500 million,$100 - <$500 million,$100 - <$500 million,2,77,1045936023,82
2012,42039.73265,Less than $250 thousand,$5 - <$25 million,$25 - <$100 million,68,99,3107640.37,99
2013,42039.73265,Zero value,$5 - <$25 million,$25 - <$100 million,5,6,0,7
2009,42039.73265,Zero value,NULL,Zero value,15024,26755,0,NULL
2001,42039.73265,Zero value,NULL,$250 thousand - <$1 million,8,8,0,NULL
2012,42039.73265,Zero value,$1 - <$5 million,$5 - <$25 million,35,41,0,42
2012,42039.73265,Zero value,Zero value,$5 - <$25 million,5,8,0,8
2004,42039.73265,$5 - <$25 million,Deobligation,Deobligation,1,1,5966600,1
2008,42039.73265,Zero value,$25 - <$100 million,$25 - <$100 million,14,18,0,21
2012,42039.73265,$1 - <$5 million,Deobligation,Less than $250 thousand,2,15,2212210.95,15
2005,42039.73265,Deobligation,NULL,Zero value,4,5,-40000,NULL
2010,42039.73265,Less than $250 thousand,Deobligation,Less than $250 thousand,9,35,866103.5,35
2005,42039.73265,$25 - <$100 million,Deobligation,Deobligation,1,2,58755317,3
2012,42039.73265,$100 - <$500 million,$25 - <$100 million,Deobligation,1,18,100377344.8,36
2008,42039.73265,Zero value,$1 - <$5 million,Zero value,24,42,0,42
2012,42039.73265,Less than $250 thousand,Less than $250 thousand,Deobligation,2911,7204,154229903.8,7221
2013,42039.73265,$25 - <$100 million,$5 - <$25 million,$1 - <$5 million,3,40,93679777.14,40
2002,42039.73265,$25 - <$100 million,Greater than $500 million,Greater than $500 million,3,23,162171686,23
2013,42039.73265,Zero value,$250 thousand - <$1 million,$5 - <$25 million,1,1,0,1
2009,42039.73265,Zero value,$250 thousand - <$1 million,Zero value,28,43,0,45
2003,42039.73265,Zero value,$25 - <$100 million,Zero value,1,1,0,1
2010,42039.73265,$5 - <$25 million,Deobligation,$1 - <$5 million,1,4,5059425.18,4
2012,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,1586,3153,897297540.9,3222
2007,42039.73265,Greater than $500 million,$100 - <$500 million,$100 - <$500 million,1,46,606393245.3,46
2014,42039.73265,$250 thousand - <$1 million,Deobligation,Deobligation,243,969,122293568.6,978
2006,42039.73265,$1 - <$5 million,Zero value,Zero value,15294,45260,32864822950,65458
2003,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Zero value,2,8,1387185.81,8
2014,42039.73265,$1 - <$5 million,Less than $250 thousand,Deobligation,7,37,19081196.88,51
2014,42039.73265,$25 - <$100 million,$25 - <$100 million,$1 - <$5 million,28,319,1176268242,341
2014,42039.73265,Deobligation,$250 thousand - <$1 million,Deobligation,4,21,-1635908.281,23
2008,42039.73265,Less than $250 thousand,Zero value,Zero value,16277,32697,992967653.1,33320
2013,42039.73265,$25 - <$100 million,$1 - <$5 million,$5 - <$25 million,2,23,86779918.13,23
2006,42039.73265,Deobligation,$25 - <$100 million,$25 - <$100 million,3,54,-419014.79,54
2008,42039.73265,Deobligation,Less than $250 thousand,Deobligation,11,36,-1763009.28,36
2014,42039.73265,$25 - <$100 million,$25 - <$100 million,Greater than $500 million,3,7,115071799,8
2009,42039.73265,$25 - <$100 million,$100 - <$500 million,$5 - <$25 million,1,7,76948738.56,7
2012,42039.73265,Less than $250 thousand,Zero value,Less than $250 thousand,9,18,704428.84,18
2006,42039.73265,$5 - <$25 million,$5 - <$25 million,$100 - <$500 million,6,42,97583317.08,42
2008,42039.73265,Greater than $500 million,$5 - <$25 million,$25 - <$100 million,1,17,528332123,17
2014,42039.73265,$25 - <$100 million,$25 - <$100 million,Less than $250 thousand,2,13,70219276,22
2004,42039.73265,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,6,41,1063168880,42
1996,42039.73265,$100 - <$500 million,NULL,NULL,109,4484,21041216066,4687
2009,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$1 - <$5 million,3,8,6600529.58,8
2008,42039.73265,$25 - <$100 million,$25 - <$100 million,Zero value,7,147,214078719.8,147
2007,42039.73265,$1 - <$5 million,Greater than $500 million,Greater than $500 million,44,224,104242304,470
2012,42039.73265,Deobligation,Deobligation,$250 thousand - <$1 million,2,10,-122483.94,10
2010,42039.73265,$100 - <$500 million,$25 - <$100 million,Deobligation,1,18,135782896.7,18
1989,42039.73265,Zero value,NULL,NULL,2,2,0,NULL
2008,42039.73265,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,550,648,0,655
2008,42039.73265,$1 - <$5 million,Zero value,Deobligation,2,4,3999377.43,8
2011,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,Zero value,7,53,4152502.61,55
2013,42039.73265,$100 - <$500 million,$25 - <$100 million,$25 - <$100 million,12,1740,2180297905,1791
2012,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,Less than $250 thousand,1,6,629013,6
2007,42039.73265,Zero value,$1 - <$5 million,$5 - <$25 million,37,52,0,52
2012,42039.73265,$100 - <$500 million,Zero value,Zero value,18,425,4546891969,425
2004,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,24,71,14295269.99,71
2010,42039.73265,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,5065,21735,51996425540,51833
2009,42039.73265,Zero value,Less than $250 thousand,Zero value,132,225,0,225
2012,42039.73265,Zero value,Zero value,$100 - <$500 million,2,14,0,2
2010,42039.73265,$100 - <$500 million,$100 - <$500 million,$1 - <$5 million,1,86,252845225,86
2014,42039.73265,$5 - <$25 million,Deobligation,Deobligation,54,624,542826443.5,671
2008,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$100 - <$500 million,1,1,111998,1
2011,42039.73265,Deobligation,$250 thousand - <$1 million,Zero value,4,8,-196328.07,8
2005,42039.73265,Zero value,$1 - <$5 million,$5 - <$25 million,11,17,0,17
2005,42039.73265,Deobligation,Deobligation,Zero value,1,3,-14000000,3
2010,42039.73265,Less than $250 thousand,Zero value,$250 thousand - <$1 million,1,2,116083.2,2
2006,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,240,643,139412153.4,653
2011,42039.73265,Zero value,$250 thousand - <$1 million,Deobligation,2,5,0,5
2006,42039.73265,$1 - <$5 million,$5 - <$25 million,$25 - <$100 million,33,70,85304670.43,94
2012,42039.73265,$250 thousand - <$1 million,Zero value,Less than $250 thousand,2,8,1424633,8
2013,42039.73265,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,72,633,664744061.9,656
2014,42039.73265,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,2044,3315,274861631.9,4330
2000,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$25 - <$100 million,1,6,402910,6
2000,42039.73265,Zero value,NULL,$100 - <$500 million,2,2,0,NULL
2010,42039.73265,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,464,1783,1339971845,1932
2008,42039.73265,$25 - <$100 million,Zero value,Zero value,277,6561,13286103039,6985
2013,42039.73265,$1 - <$5 million,Zero value,Deobligation,3,16,6306888.375,16
1994,42039.73265,Greater than $500 million,NULL,NULL,17,353,17769196766,726
2011,42039.73265,$25 - <$100 million,$25 - <$100 million,Zero value,33,624,1327481343,788
2014,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,Deobligation,1,17,5103690.769,35
2006,42039.73265,$250 thousand - <$1 million,Zero value,$1 - <$5 million,5,12,3122589,12
2006,42039.73265,$250 thousand - <$1 million,Greater than $500 million,Greater than $500 million,18,26,9281473.09,26
2007,42039.73265,Zero value,NULL,$100 - <$500 million,383,769,0,NULL
2011,42039.73265,$5 - <$25 million,$25 - <$100 million,$250 thousand - <$1 million,3,65,65782204.68,72
2012,42039.73265,Greater than $500 million,$100 - <$500 million,Deobligation,1,15,684728172,15
2014,42039.73265,$25 - <$100 million,Zero value,Less than $250 thousand,1,6,62717634.25,6
2010,42039.73265,Deobligation,Deobligation,Deobligation,40119,52254,-4568709371,55113
2010,42039.73265,Zero value,Less than $250 thousand,$250 thousand - <$1 million,143,165,0,166
2009,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,25,161,16465096.59,162
2006,42039.73265,Less than $250 thousand,$1 - <$5 million,Greater than $500 million,2,2,226798.65,2
2010,42039.73265,Deobligation,Deobligation,$25 - <$100 million,1,6,-31642209.32,6
2011,42039.73265,$1 - <$5 million,$25 - <$100 million,$100 - <$500 million,3,7,11049891.56,9
2011,42039.73265,Greater than $500 million,Zero value,Zero value,3,79,2214755365,79
2003,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,113,155,56296291.2,156
2008,42039.73265,$1 - <$5 million,$25 - <$100 million,Zero value,1,4,3258077,4
2009,42039.73265,$1 - <$5 million,$25 - <$100 million,$25 - <$100 million,33,113,90806386.42,121
2010,42039.73265,$25 - <$100 million,$100 - <$500 million,$250 thousand - <$1 million,1,15,88998611,15
2012,42039.73265,Deobligation,$1 - <$5 million,$250 thousand - <$1 million,1,10,-2686306,11
2014,42039.73265,Less than $250 thousand,$1 - <$5 million,$250 thousand - <$1 million,2,5,85411.04,5
2011,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,33,307,59792922.55,330
2003,42039.73265,Zero value,Less than $250 thousand,Less than $250 thousand,53,54,0,54
2013,42039.73265,$250 thousand - <$1 million,$100 - <$500 million,$25 - <$100 million,1,7,360930.1309,7
2010,42039.73265,$5 - <$25 million,Greater than $500 million,Greater than $500 million,4,43,49667107.07,43
2012,42039.73265,$25 - <$100 million,Deobligation,Deobligation,11,160,510816901.9,186
2011,42039.73265,$5 - <$25 million,$5 - <$25 million,Zero value,227,2373,2222102852,3327
2001,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,2,2,778648,2
2009,42039.73265,Zero value,Zero value,Zero value,53833,75796,0,77212
2001,42039.73265,$100 - <$500 million,Zero value,Zero value,99,1521,20103374797,1545
2000,42039.73265,$1 - <$5 million,Zero value,Zero value,10340,25852,21628068386,26693
2014,42039.73265,Zero value,Zero value,$1 - <$5 million,18,29,0,32
2007,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,40138,61325,19427392463,95573
2008,42039.73265,Deobligation,Greater than $500 million,Greater than $500 million,2,72,-78421336.7,72
2004,42039.73265,Less than $250 thousand,Less than $250 thousand,$25 - <$100 million,2,2,257379.94,2
2006,42039.73265,$1 - <$5 million,Zero value,$1 - <$5 million,34,47,81081269,49
2013,42039.73265,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,91,136,4200620.822,137
2007,42039.73265,$250 thousand - <$1 million,Deobligation,Zero value,2,6,1174264,6
2011,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,101,202,14246943.08,206
2014,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,105,199,14603503.25,202
2013,42039.73265,Deobligation,Deobligation,Less than $250 thousand,16,35,-1220405.853,35
2008,42039.73265,Deobligation,Zero value,Deobligation,7,12,-1050880.76,12
2008,42039.73265,Less than $250 thousand,Less than $250 thousand,$100 - <$500 million,14,24,965558.85,24
2011,42039.73265,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,103,723,1490825659,871
2007,42039.73265,$1 - <$5 million,$5 - <$25 million,$1 - <$5 million,6,40,22438882.78,40
2012,42039.73265,Less than $250 thousand,Deobligation,$250 thousand - <$1 million,1,9,177733.19,9
2008,42039.73265,$25 - <$100 million,$25 - <$100 million,Greater than $500 million,4,28,284988796.3,28
2010,42039.73265,Zero value,Zero value,Zero value,52286,74029,0,74558
2001,42039.73265,Less than $250 thousand,Less than $250 thousand,Deobligation,1,1,4200,1
2013,42039.73265,Less than $250 thousand,Deobligation,Deobligation,784,2179,55001998.42,2199
2012,42039.73265,Less than $250 thousand,Less than $250 thousand,$100 - <$500 million,6,7,749576.21,7
2014,42039.73265,$250 thousand - <$1 million,Deobligation,$250 thousand - <$1 million,2,10,726886.1319,10
2006,42039.73265,Zero value,$100 - <$500 million,$100 - <$500 million,2,4,0,4
2011,42039.73265,Zero value,$250 thousand - <$1 million,$1 - <$5 million,69,76,0,76
2009,42039.73265,Zero value,$5 - <$25 million,Zero value,1,2,0,2
2000,42039.73265,Zero value,NULL,Less than $250 thousand,4,4,0,NULL
2010,42039.73265,Zero value,Deobligation,Zero value,10,16,0,16
2014,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$250 thousand - <$1 million,31,239,314961729,254
2011,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,33,192,22234895.42,212
2012,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,32,239,60024673.26,272
2014,42039.73265,$1 - <$5 million,$100 - <$500 million,$100 - <$500 million,3,6,7363112.625,7
2001,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,2,2,786814,3
2005,42039.73265,$5 - <$25 million,$100 - <$500 million,Greater than $500 million,1,8,9254223,8
2010,42039.73265,$5 - <$25 million,$25 - <$100 million,Deobligation,5,57,79343117.96,64
2007,42039.73265,Zero value,Zero value,$25 - <$100 million,3,3,0,3
2010,42039.73265,$100 - <$500 million,$100 - <$500 million,Deobligation,6,73,1480898782,73
2012,42039.73265,$5 - <$25 million,$5 - <$25 million,Deobligation,157,1412,1505409541,1563
2013,42039.73265,$1 - <$5 million,$5 - <$25 million,Zero value,105,991,350870892,1202
2010,42039.73265,Deobligation,$100 - <$500 million,$100 - <$500 million,3,9,-24311454.22,9
1992,42039.73265,$5 - <$25 million,NULL,NULL,2533,32126,26811267765,2
2014,42039.73265,Less than $250 thousand,Less than $250 thousand,$5 - <$25 million,12,36,1661150.061,47
2011,42039.73265,Less than $250 thousand,$1 - <$5 million,$25 - <$100 million,2,3,333000,3
2007,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,300,531,26941411.08,890
2013,42039.73265,Zero value,NULL,$1 - <$5 million,2544,4050,0,NULL
2007,42039.73265,Less than $250 thousand,Zero value,Less than $250 thousand,7,10,230072.53,10
2009,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,711,2608,374433955.6,2633
2011,42039.73265,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,230,5665,44143250363,9306
2001,42039.73265,Less than $250 thousand,Zero value,$5 - <$25 million,1,2,143000,2
2007,42039.73265,Less than $250 thousand,$1 - <$5 million,$250 thousand - <$1 million,1,3,119605,3
2000,42039.73265,$25 - <$100 million,$25 - <$100 million,Greater than $500 million,1,12,35358821,12
2013,42039.73265,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,27,36,2437761.111,2751
2007,42039.73265,$5 - <$25 million,$25 - <$100 million,Zero value,1,6,21531765,8
2005,42039.73265,Deobligation,$1 - <$5 million,$1 - <$5 million,10,12,-1222029,12
2013,42039.73265,$1 - <$5 million,$5 - <$25 million,Less than $250 thousand,7,54,22670741.14,54
2008,42039.73265,Less than $250 thousand,Less than $250 thousand,Deobligation,1011,2641,63207796.04,2670
2010,42039.73265,Deobligation,Less than $250 thousand,Deobligation,26,70,-1387566.15,70
2014,42039.73265,$5 - <$25 million,Deobligation,$1 - <$5 million,2,33,29776267,39
2012,42039.73265,Less than $250 thousand,Less than $250 thousand,$25 - <$100 million,9,10,860858.82,10
2009,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,1305,2586,174059204.1,2673
2002,42039.73265,$1 - <$5 million,Zero value,$1 - <$5 million,3,20,8931523,20
2005,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,125,165,14675765.38,166
2009,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Zero value,37,107,15464734.35,107
2014,42039.73265,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,48,168,151679300.9,175
1993,42039.73265,Deobligation,NULL,NULL,4221,6570,-2867498598,75
2010,42039.73265,$25 - <$100 million,$25 - <$100 million,$1 - <$5 million,13,258,589096846.7,263
2013,42039.73265,$5 - <$25 million,$1 - <$5 million,$5 - <$25 million,7,75,89186240.13,78
2006,42039.73265,$5 - <$25 million,Zero value,$1 - <$5 million,1,14,6267924,21
2001,42039.73265,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,4,5,406577,6
2010,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,1393,3040,663653025.6,3075
1991,42039.73265,Less than $250 thousand,NULL,NULL,73612,86546,6216769633,1
2008,42039.73265,$5 - <$25 million,Less than $250 thousand,Zero value,1,3,5937805,3
2007,42039.73265,$25 - <$100 million,$25 - <$100 million,Less than $250 thousand,1,3,42775108.47,3
2014,42039.73265,Zero value,$1 - <$5 million,$250 thousand - <$1 million,1,4,0,4
2002,42039.73265,$1 - <$5 million,$1 - <$5 million,Zero value,1,7,2856985.77,7
2009,42039.73265,Less than $250 thousand,$100 - <$500 million,Greater than $500 million,10,10,323037.59,10
2003,42039.73265,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,1,1,2950568,1
2009,42039.73265,Deobligation,$1 - <$5 million,Zero value,1,4,-176000,4
2007,42039.73265,$25 - <$100 million,$1 - <$5 million,$250 thousand - <$1 million,1,5,31647013,5
2008,42039.73265,Zero value,Zero value,$250 thousand - <$1 million,21,76,0,76
2013,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$25 - <$100 million,8,15,5311076.469,2183
2010,42039.73265,Greater than $500 million,$5 - <$25 million,$5 - <$25 million,1,100,2488722845,100
2007,42039.73265,$25 - <$100 million,$5 - <$25 million,Less than $250 thousand,1,6,32607314,6
