fiscal_year,Customer,Query_Run,ServicesCategory,SumOfnumberOfActions,SumOfobligatedAmount
2013,Other Agencies,02:26.4,MED,10,59164.84
2008,Other Agencies,02:26.4,R&D,117,3721223.88
2011,Other Agencies,02:26.4,R&D,7,26630.22
2014,Other Agencies,02:26.4,ERS,5,27034
2009,HHS,02:26.4,NULL,631,7202949.9
2014,Other Agencies,02:26.4,R&D,790,99175900.05
2005,Other Agencies,02:26.4,FRS&C,1,24986
2010,DHS,02:26.4,Products,1122,213551513.2
2005,DHS,02:26.4,R&D,1341,219498186.3
2008,DHS,02:26.4,ICT,509,312738821.1
2013,State and IAP,02:26.4,NULL,1,-47665.85
2003,Defense,02:26.4,NULL,1,0
2014,HHS,02:26.4,R&D,4859,2273882044
2007,DHS,02:26.4,Fuel,20,1133430.26
2008,State and IAP,02:26.4,PAMS,5799,3253874084
2005,Other Agencies,02:26.4,ICT,3675,478602045
2006,Other Agencies,02:26.4,FRS&C,11646,691208283.1
2013,Other Agencies,02:26.4,ERS,9,341992.4
2000,Defense,02:26.4,MED,1372,682151044.8
2003,Other Agencies,02:26.4,NULL,3,421565
2010,Defense,02:26.4,NULL,18,-47863.44
2000,Other Agencies,02:26.4,NULL,43,0
2002,Defense,02:26.4,R&D,11270,6158393083
2010,Other Agencies,02:26.4,Fuel,45,1274422.59
2002,Defense,02:26.4,Products,21364,23616239206
2012,Other Agencies,02:26.4,FRS&C,42,1395036.45
2008,DHS,02:26.4,Products,14985,892489782.3
2008,Other Agencies,02:26.4,PAMS,8085,950432718.7
2010,DHS,02:26.4,ICT,510,102868542.1
2005,Other Agencies,02:26.4,PAMS,47577,1014600192
2013,Other Agencies,02:26.4,ERS,1073,3243225.67
2012,Other Agencies,02:26.4,ERS,39,326042.31
2006,Other Agencies,02:26.4,PAMS,41,2159767.16
2001,Other Agencies,02:26.4,FRS&C,5,990000
2007,HHS,02:26.4,R&D,4457,2239927898
2009,DHS,02:26.4,NULL,174,1804134.18
2010,Defense,02:26.4,FRS&C,102839,31605794450
2003,DHS,02:26.4,FRS&C,106,11434976.48
2011,State and IAP,02:26.4,PAMS,533,46005017.49
2005,State and IAP,02:26.4,R&D,37,43781136
2007,Other Agencies,02:26.4,MED,56,4475523.3
2010,State and IAP,02:26.4,MED,28,47934157.01
2000,Defense,02:26.4,MED,155,1366839732
2012,Other Agencies,02:26.4,MED,5,28070.85
2011,Other Agencies,02:26.4,Products,26669,643813551
2005,Other Agencies,02:26.4,Products,679,1329256.33
2011,Other Agencies,02:26.4,Products,197,4526923.97
2003,Other Agencies,02:26.4,FRS&C,14,1550701.92
2004,Other Agencies,02:26.4,Products,96,19782928.46
2007,Other Agencies,02:26.4,MED,25,1942592.57
2012,Defense,02:26.4,R&D,16263,12536812310
2002,DHS,02:26.4,FRS&C,180,17389000
2004,GSA,02:26.4,NULL,931,49482536.79
2008,Other Agencies,02:26.4,ICT,70,7051455.35
2010,Defense,02:26.4,R&D,14705,12067861633
2008,Defense,02:26.4,ICT,8,209898.44
2009,Other Agencies,02:26.4,ERS,36,316981.66
2014,Other Agencies,02:26.4,PAMS,396,60560210.17
2012,Other Agencies,02:26.4,PAMS,484,187530149.7
2002,Other Agencies,02:26.4,NULL,102,1733978.71
2002,Other Agencies,02:26.4,ICT,571,217569400.6
1990,Defense,02:26.4,Fuel,NULL,13852000
2009,Defense,02:26.4,Fuel,5,525966.81
2014,Defense,02:26.4,PAMS,43289,9207360567
2009,Other Agencies,02:26.4,Products,47,1451049.93
2003,Other Agencies,02:26.4,ICT,3726,898949388.3
2011,Other Agencies,02:26.4,ICT,11,488673.68
2002,State and IAP,02:26.4,R&D,21,11087000
2009,Other Agencies,02:26.4,Products,39,845204
1993,Defense,02:26.4,MED,NULL,273009
1995,Other Agencies,02:26.4,FRS&C,300,83673211
2013,Other Agencies,02:26.4,Products,37,6135239.31
2001,Other Agencies,02:26.4,Products,2,59000
2007,Other Agencies,02:26.4,Products,182,3671941.09
2000,Other Agencies,02:26.4,ERS,2,154000
2001,Defense,02:26.4,R&D,883,544811219.7
2006,Other Agencies,02:26.4,MED,14328,550294576.8
2006,Other Agencies,02:26.4,FRS&C,50,3106931.24
2014,Other Agencies,02:26.4,ERS,5317,124284594.6
2006,Other Agencies,02:26.4,FRS&C,2336,192502102.3
2010,Other Agencies,02:26.4,ICT,11,410968.71
2005,Other Agencies,02:26.4,R&D,3,6684
2004,Other Agencies,02:26.4,R&D,511,38393299.99
2005,Other Agencies,02:26.4,ICT,1,150000
2008,Other Agencies,02:26.4,NULL,538,-1094103.88
2008,Other Agencies,02:26.4,R&D,78,14941794.36
2006,Other Agencies,02:26.4,R&D,7,4315
2008,Other Agencies,02:26.4,FRS&C,22,250128.82
2004,Other Agencies,02:26.4,NULL,3,36393
2006,GSA,02:26.4,PAMS,13259,1159538772
2010,Other Agencies,02:26.4,PAMS,2870,1022335192
1993,Defense,02:26.4,Fuel,NULL,4435096715
2013,Defense,02:26.4,ERS,9338098,3088224552
2009,Defense,02:26.4,PAMS,21,7115253.93
2011,Other Agencies,02:26.4,FRS&C,110,23768210.62
2012,Other Agencies,02:26.4,ICT,104,6375504.59
2008,Other Agencies,02:26.4,FRS&C,12,2636472.79
2011,Other Agencies,02:26.4,MED,2238,48578816.35
2005,State and IAP,02:26.4,Products,8,78929.92
2008,Other Agencies,02:26.4,Products,9,168693.76
2003,Other Agencies,02:26.4,Fuel,6,309015
2005,Other Agencies,02:26.4,ERS,8,52712.5
2014,Defense,02:26.4,R&D,10398,3471388464
2013,GSA,02:26.4,FRS&C,20380,2012638836
2000,Other Agencies,02:26.4,ICT,1504,391445722.1
2006,Other Agencies,02:26.4,PAMS,2319,940434932.1
2008,DHS,02:26.4,R&D,45,42704124.03
2008,Other Agencies,02:26.4,FRS&C,6,45082.44
2004,DHS,02:26.4,FRS&C,313,60802818.31
1990,Defense,02:26.4,Products,NULL,13277507000
2003,Other Agencies,02:26.4,ICT,1,118496
2013,Other Agencies,02:26.4,NULL,4,978505.29
2004,Other Agencies,02:26.4,MED,2,3729.75
2005,Defense,02:26.4,ERS,43616,6149543728
2010,Other Agencies,02:26.4,PAMS,492,97047118.42
2012,Other Agencies,02:26.4,Fuel,NULL,20000
2013,Other Agencies,02:26.4,ERS,60,461734.42
2002,Other Agencies,02:26.4,FRS&C,7088,899608453.9
2010,Other Agencies,02:26.4,NULL,3,8493.5
2000,Other Agencies,02:26.4,Fuel,31,2380808.31
2003,Other Agencies,02:26.4,Products,18747,804673925.3
2005,Other Agencies,02:26.4,ERS,33,196235.96
2010,State and IAP,02:26.4,Products,1496,356226303.1
2008,Other Agencies,02:26.4,ICT,78,16454286.59
2014,Other Agencies,02:26.4,Fuel,120,1732115.53
2005,Other Agencies,02:26.4,Products,13,119523.52
2005,HHS,02:26.4,NULL,10353,131185277.6
2010,State and IAP,02:26.4,Fuel,10,97871.03
2014,State and IAP,02:26.4,FRS&C,2,275001
2012,Other Agencies,02:26.4,R&D,30,4092047.55
1997,Defense,02:26.4,R&D,6499,8282860396
2011,Other Agencies,02:26.4,Products,497,15080142.71
2011,Other Agencies,02:26.4,PAMS,147,2672149.37
2012,DHS,02:26.4,Products,18390,1101983253
2010,Other Agencies,02:26.4,PAMS,43,2679500.48
2014,Other Agencies,02:26.4,Products,7125,626303689
2004,DHS,02:26.4,NULL,9,77770.52
2010,Other Agencies,02:26.4,FRS&C,2457,259421196.6
2004,Other Agencies,02:26.4,PAMS,1369,911075458.3
2007,DHS,02:26.4,MED,25,3630886.39
2012,Other Agencies,02:26.4,Products,24662,524866409.5
2004,NASA,02:26.4,ICT,1079,884412839.9
2014,Other Agencies,02:26.4,Products,443,41968228.78
2004,Other Agencies,02:26.4,R&D,1,227352
2010,Other Agencies,02:26.4,R&D,77,16085081.95
2013,Other Agencies,02:26.4,Fuel,12,99288.34
NULL,Defense,02:26.4,NULL,NULL,NULL
2002,Other Agencies,02:26.4,NULL,1,0
2014,DHS,02:26.4,ERS,928,15783837.03
2004,Other Agencies,02:26.4,R&D,663,58469175.19
2012,HHS,02:26.4,PAMS,29040,5280560656
2014,Other Agencies,02:26.4,PAMS,411,45303172.07
2001,Defense,02:26.4,PAMS,20887,5617912676
2004,Other Agencies,02:26.4,ICT,68,50358381.44
2012,State and IAP,02:26.4,FRS&C,1,6000
2008,Other Agencies,02:26.4,ERS,3912,62721992.18
2012,Defense,02:26.4,NULL,12,-648621.43
2002,Other Agencies,02:26.4,NULL,127,489705.05
2004,Other Agencies,02:26.4,R&D,2,4863.74
2007,Other Agencies,02:26.4,ERS,3572,107167607.4
2009,Other Agencies,02:26.4,NULL,75,2577446.06
2006,Energy,02:26.4,R&D,523,771603532.7
2008,Other Agencies,02:26.4,ERS,24,274444.32
2013,Defense,02:26.4,ICT,79,51452252.48
2007,DHS,02:26.4,ICT,407,320777961.6
2006,Other Agencies,02:26.4,PAMS,69,1385458.91
2010,DHS,02:26.4,Products,17100,1162158491
2013,Other Agencies,02:26.4,FRS&C,28,578181.96
2014,Energy,02:26.4,Products,2854,516341452.7
1995,Defense,02:26.4,R&D,6790,8811071363
2008,Other Agencies,02:26.4,NULL,8,38440.48
2009,Defense,02:26.4,Products,18763,2178574737
2001,Defense,02:26.4,Fuel,94,4724772
2000,Other Agencies,02:26.4,FRS&C,3,869000
2005,Defense,02:26.4,Fuel,1075,42288386
1995,Defense,02:26.4,MED,842,175978711
2004,DHS,02:26.4,Products,244,52071444.62
2000,Other Agencies,02:26.4,FRS&C,5,74773000
2012,DHS,02:26.4,ERS,6920,283037353.1
2007,Other Agencies,02:26.4,R&D,29,4080348.06
2006,Other Agencies,02:26.4,R&D,701,81983602.34
2014,Other Agencies,02:26.4,PAMS,22,365970.39
2010,DHS,02:26.4,Fuel,29,-1851962.62
2010,Other Agencies,02:26.4,NULL,3,31004.8
2008,DHS,02:26.4,FRS&C,739,110210447.6
2008,Other Agencies,02:26.4,PAMS,1788,18369501.33
2006,Other Agencies,02:26.4,PAMS,13,910197
2003,Other Agencies,02:26.4,ERS,12,3470884
2012,Other Agencies,02:26.4,FRS&C,83,20475388.82
2006,Other Agencies,02:26.4,MED,9,425487.98
2001,State and IAP,02:26.4,R&D,9,377000
2005,GSA,02:26.4,ICT,12906,3924284391
2005,Other Agencies,02:26.4,NULL,18,48709.8
2004,DHS,02:26.4,MED,2,804500
2001,Other Agencies,02:26.4,PAMS,369,32396430
2010,Defense,02:26.4,MED,4202,313421954.2
2008,DHS,02:26.4,ICT,642,319536737.2
2005,Other Agencies,02:26.4,Products,114,2288822.98
2014,Other Agencies,02:26.4,Fuel,3,-4433.3
2003,Energy,02:26.4,ICT,514,173735668.6
2010,Other Agencies,02:26.4,FRS&C,27,2400689.6
2014,Energy,02:26.4,ERS,457,23809020.41
2010,Defense,02:26.4,ICT,7,292971.48
2012,HHS,02:26.4,R&D,3728,2121773450
2013,Other Agencies,02:26.4,Products,143245,993919545.4
2002,Other Agencies,02:26.4,ICT,63,8652000
2006,Other Agencies,02:26.4,R&D,216,107128439.6
1996,Defense,02:26.4,ICT,3148,905480586
2008,DHS,02:26.4,PAMS,1926,643882812.9
2013,State and IAP,02:26.4,Products,59,79437513.13
2006,Other Agencies,02:26.4,FRS&C,5,291388
2014,Other Agencies,02:26.4,ERS,62,1728726.7
2004,Other Agencies,02:26.4,ERS,32,155663.92
2002,State and IAP,02:26.4,PAMS,4,146000
2007,Other Agencies,02:26.4,PAMS,628,4315370.7
1997,Other Agencies,02:26.4,FRS&C,350,94268220
2007,Other Agencies,02:26.4,ICT,247,19946138.68
2006,Other Agencies,02:26.4,MED,1,5000
2011,Defense,02:26.4,ERS,2319,109440235.2
2006,DHS,02:26.4,Products,702,168348083.2
2006,Other Agencies,02:26.4,ICT,18,864346
2008,State and IAP,02:26.4,PAMS,442,40974145.38
2004,Defense,02:26.4,FRS&C,84404,17217805236
2013,Other Agencies,02:26.4,ICT,18,1174724.86
2005,DHS,02:26.4,ICT,185,81400641.02
2004,State and IAP,02:26.4,PAMS,1465,1021210643
2012,HHS,02:26.4,FRS&C,6113,1577066272
1996,Defense,02:26.4,ICT,270,47697464
2007,Defense,02:26.4,Products,94645,30530269527
2010,Other Agencies,02:26.4,R&D,16,763951
2012,Other Agencies,02:26.4,ICT,7,208710.01
2003,Other Agencies,02:26.4,PAMS,196,37244399.64
1997,Defense,02:26.4,PAMS,440,80541332
2004,Other Agencies,02:26.4,Fuel,38,924210.1
2014,Other Agencies,02:26.4,PAMS,95,4923838.46
2005,Other Agencies,02:26.4,ERS,10,261747.97
2006,Other Agencies,02:26.4,ICT,100,39194653.48
2009,Other Agencies,02:26.4,MED,19,1732489.03
2013,State and IAP,02:26.4,MED,832,74895947.91
2008,Defense,02:26.4,Fuel,209,24739841.7
2004,Other Agencies,02:26.4,Products,53,1875142.63
2000,State and IAP,02:26.4,PAMS,1434,399313332
2000,Other Agencies,02:26.4,MED,57,1376000
2004,Other Agencies,02:26.4,ICT,32,3460628.01
2008,DHS,02:26.4,Fuel,133,2655238.87
2014,Other Agencies,02:26.4,MED,19,1214105.41
2010,Other Agencies,02:26.4,PAMS,4474,1127086121
2014,Other Agencies,02:26.4,Products,491,56167235.27
2005,Other Agencies,02:26.4,PAMS,450,3148496.01
2006,Other Agencies,02:26.4,ERS,22,1912358.33
2000,Other Agencies,02:26.4,NULL,12,30000
2006,Other Agencies,02:26.4,MED,2,38328.68
2003,Other Agencies,02:26.4,ICT,26,2147775
2004,Other Agencies,02:26.4,ICT,986,198967028.6
2002,Other Agencies,02:26.4,MED,63,9457362.5
2004,Energy,02:26.4,PAMS,3864,1291065323
2006,Other Agencies,02:26.4,NULL,2,20518
2002,Other Agencies,02:26.4,MED,30,287000
2007,DHS,02:26.4,ERS,990,17355138.24
2008,Other Agencies,02:26.4,FRS&C,2044,209073177
2010,DHS,02:26.4,FRS&C,696,185669012.3
2013,Other Agencies,02:26.4,R&D,494,8374872.55
1992,Defense,02:26.4,Products,NULL,1097838195
2003,HHS,02:26.4,Fuel,9,829804.92
2006,Other Agencies,02:26.4,PAMS,2153,57773657.01
2010,Other Agencies,02:26.4,NULL,10,43194.44
2008,NASA,02:26.4,R&D,9085,6101722825
2011,DHS,02:26.4,PAMS,2230,912555145
1999,Defense,02:26.4,PAMS,17444,5056812259
2007,Defense,02:26.4,ERS,15760,6087369777
2007,Other Agencies,02:26.4,FRS&C,680,107800426
1989,Defense,02:26.4,FRS&C,NULL,62101000
2014,Other Agencies,02:26.4,Fuel,63,743117.04
2000,Other Agencies,02:26.4,Products,49,5601000
2013,Other Agencies,02:26.4,ERS,32,279787.85
2013,State and IAP,02:26.4,ERS,4,26642.99
2011,Other Agencies,02:26.4,ERS,3,74110.14
2003,Other Agencies,02:26.4,ERS,163,74053659.57
2005,Other Agencies,02:26.4,ERS,10,295837.92
2010,Other Agencies,02:26.4,FRS&C,87,12300816.25
2014,Other Agencies,02:26.4,FRS&C,211,357323442.9
2006,Defense,02:26.4,FRS&C,12454,894707421.4
2010,Other Agencies,02:26.4,ICT,12,227686.47
2001,Other Agencies,02:26.4,ICT,29,3407792.64
2002,Other Agencies,02:26.4,NULL,39,6912731.22
2008,Other Agencies,02:26.4,ERS,434,18206332.54
2013,Other Agencies,02:26.4,R&D,1689,748087175.2
2002,Energy,02:26.4,NULL,32,5111254
2006,Other Agencies,02:26.4,MED,20,208087.71
2004,State and IAP,02:26.4,FRS&C,21,1578316
2008,Other Agencies,02:26.4,Products,3670,988592691.4
2014,Defense,02:26.4,R&D,85,17483346.89
2008,Defense,02:26.4,MED,3615,297148894.9
2014,Defense,02:26.4,PAMS,997,444775294.6
2013,Other Agencies,02:26.4,PAMS,8860,2539485598
2004,Defense,02:26.4,FRS&C,14703,4410077608
2008,Other Agencies,02:26.4,ERS,485,57643844.35
2006,NASA,02:26.4,ICT,1399,1001944273
2014,State and IAP,02:26.4,ERS,312,44751845.93
2006,Other Agencies,02:26.4,PAMS,13497,686978937.2
2006,Other Agencies,02:26.4,R&D,982,51264992.03
2006,Other Agencies,02:26.4,R&D,1,6400
2009,Other Agencies,02:26.4,ICT,11,81322.69
2014,Defense,02:26.4,PAMS,22849,9866845139
2005,Other Agencies,02:26.4,PAMS,91,20051600.47
2004,Other Agencies,02:26.4,PAMS,8,1414267
2004,Other Agencies,02:26.4,NULL,45,36849
2010,Other Agencies,02:26.4,Products,126,2580173.03
2014,Other Agencies,02:26.4,ICT,70,10967781.71
2002,Defense,02:26.4,ICT,9490,2632332399
2004,Energy,02:26.4,R&D,389,1152659074
2000,State and IAP,02:26.4,MED,5,387402
2014,DHS,02:26.4,Products,1113,225236344.6
1994,Defense,02:26.4,ICT,3690,965808126
2013,Other Agencies,02:26.4,PAMS,146,7943026.18
2004,Other Agencies,02:26.4,R&D,207,122085679.7
2009,Other Agencies,02:26.4,ICT,193,89122201.69
1992,Defense,02:26.4,ERS,NULL,2229015154
2001,Other Agencies,02:26.4,Products,22,2104000
1995,Defense,02:26.4,PAMS,18863,5254963320
2008,HHS,02:26.4,ICT,3213,1726979587
2006,HHS,02:26.4,MED,5041,1226790124
2001,Other Agencies,02:26.4,ERS,880,63791647.1
2001,State and IAP,02:26.4,NULL,6,0
2008,Other Agencies,02:26.4,FRS&C,4047,402679556.4
2011,Other Agencies,02:26.4,FRS&C,18,58276.83
2012,State and IAP,02:26.4,PAMS,112,9479401.36
2000,Other Agencies,02:26.4,NULL,2,0
2000,State and IAP,02:26.4,ICT,11,169000
2006,DHS,02:26.4,ERS,29,3926971.83
2010,Other Agencies,02:26.4,Products,314045,7215995554
2003,Other Agencies,02:26.4,MED,1,162000
2000,State and IAP,02:26.4,MED,72,9508086.97
2000,Defense,02:26.4,FRS&C,636,159414538.9
2003,Energy,02:26.4,Products,1068,910797273.1
2010,Other Agencies,02:26.4,Fuel,1,5942.5
2007,Other Agencies,02:26.4,Products,1,479500
2009,Other Agencies,02:26.4,ICT,4798,547696535.8
2012,DHS,02:26.4,PAMS,1461,344780749
2010,Other Agencies,02:26.4,Products,3,152257.82
2014,State and IAP,02:26.4,Products,1854,164554886.8
2000,State and IAP,02:26.4,Fuel,43,10532000
2003,HHS,02:26.4,ERS,468,40035075.35
2006,State and IAP,02:26.4,FRS&C,5331,1494431825
2008,Other Agencies,02:26.4,PAMS,334,47559301.79
2010,Other Agencies,02:26.4,PAMS,83,7955702.51
2007,State and IAP,02:26.4,MED,498,27218870.61
2002,Other Agencies,02:26.4,PAMS,2327,205090289
2013,Other Agencies,02:26.4,ERS,178,3467331
2007,Other Agencies,02:26.4,ICT,10,133629.33
2009,State and IAP,02:26.4,MED,699,39388330.12
2000,Other Agencies,02:26.4,Products,13,1255000
2005,GSA,02:26.4,Products,635081,3270036533
2008,DHS,02:26.4,FRS&C,2457,182274398.4
2014,State and IAP,02:26.4,FRS&C,4,95420.02
2008,Other Agencies,02:26.4,Products,29423,578234102.9
2012,Other Agencies,02:26.4,Products,697,18029918.59
2013,Other Agencies,02:26.4,Products,161,3639889.56
2003,Defense,02:26.4,FRS&C,46488,6867124227
2001,Other Agencies,02:26.4,ICT,3,150000
2013,DHS,02:26.4,MED,12,14552186.7
2011,State and IAP,02:26.4,R&D,1971,51682748.36
2001,NASA,02:26.4,FRS&C,1219,796748788.1
2008,Other Agencies,02:26.4,MED,1,25003
2001,Other Agencies,02:26.4,PAMS,3,1400000
1997,Defense,02:26.4,MED,7,442272
2011,Other Agencies,02:26.4,FRS&C,38,2182780.75
2009,Other Agencies,02:26.4,FRS&C,51,2359505.61
2005,Other Agencies,02:26.4,R&D,575,652012.45
2008,Other Agencies,02:26.4,ICT,55,1761910.96
2001,Other Agencies,02:26.4,Products,6328,2552725092
2003,Other Agencies,02:26.4,ERS,2,184000
2007,Other Agencies,02:26.4,R&D,4,972388
2008,Other Agencies,02:26.4,PAMS,11,376224
2014,DHS,02:26.4,ICT,590,195494437
2012,Other Agencies,02:26.4,FRS&C,23,1930467.5
2007,Other Agencies,02:26.4,ERS,33,1113877.14
2013,Other Agencies,02:26.4,FRS&C,20,611427.85
2002,Other Agencies,02:26.4,PAMS,2296,318376870
2013,DHS,02:26.4,PAMS,1631,346915801.6
2002,NASA,02:26.4,ICT,735,395500380.7
2007,Other Agencies,02:26.4,Products,9,56417.02
2010,Other Agencies,02:26.4,R&D,506,589564658.6
1992,Defense,02:26.4,Fuel,NULL,14082794
2003,Other Agencies,02:26.4,ERS,1449,110689815
2005,DHS,02:26.4,FRS&C,3732,381241658.1
2012,Defense,02:26.4,R&D,14831,6503471931
2002,Energy,02:26.4,R&D,327,1209840352
2009,Other Agencies,02:26.4,R&D,5,15345.5
2013,Other Agencies,02:26.4,Fuel,1660,23047258.44
2012,Other Agencies,02:26.4,ERS,19,229439.4
2010,Other Agencies,02:26.4,MED,2,313790
1991,Defense,02:26.4,Fuel,NULL,5883421000
2002,Other Agencies,02:26.4,R&D,59,4527068.76
1993,Defense,02:26.4,ICT,101,915358156
2001,Defense,02:26.4,MED,329,2346504288
2008,Other Agencies,02:26.4,ICT,4777,1139196958
2000,Other Agencies,02:26.4,FRS&C,70,11091000
2004,Other Agencies,02:26.4,R&D,6,27647.12
2012,Other Agencies,02:26.4,Fuel,2,2255.4
2006,Other Agencies,02:26.4,FRS&C,57,7682637.23
2007,Other Agencies,02:26.4,ERS,1744,35312476.1
2006,Other Agencies,02:26.4,Products,254,7131312.67
2009,Other Agencies,02:26.4,ERS,11,180886.65
2012,Other Agencies,02:26.4,FRS&C,2341,182323091.5
2014,HHS,02:26.4,PAMS,29971,6067976059
2005,Other Agencies,02:26.4,ERS,31,368736.4
2010,Other Agencies,02:26.4,FRS&C,7,111639.85
2002,Other Agencies,02:26.4,NULL,83,24380158
2004,DHS,02:26.4,FRS&C,73,29617731.64
2010,DHS,02:26.4,Products,1480,619256107.3
2006,State and IAP,02:26.4,R&D,71,113722353.7
2009,DHS,02:26.4,ICT,435,345031722.2
2000,State and IAP,02:26.4,PAMS,623,254446666.2
2004,Other Agencies,02:26.4,NULL,27,4047060
2000,Energy,02:26.4,R&D,355,702935267
2000,Other Agencies,02:26.4,R&D,131,87717000
2006,Other Agencies,02:26.4,MED,75,8295108.33
2005,Other Agencies,02:26.4,ICT,282,38667948.99
2009,GSA,02:26.4,ICT,5027,2480549564
2005,Other Agencies,02:26.4,Products,14,309068.47
2012,Defense,02:26.4,R&D,100,23337878.84
2005,Other Agencies,02:26.4,ICT,71,4177096.58
2008,HHS,02:26.4,R&D,4314,2139035488
2010,Defense,02:26.4,R&D,183,52267606.57
2010,Other Agencies,02:26.4,FRS&C,5,79041
2003,Defense,02:26.4,PAMS,114,50535050.9
2002,Defense,02:26.4,Fuel,37,6312070
2008,Other Agencies,02:26.4,NULL,664,2140766.71
2003,Defense,02:26.4,R&D,13152,7064903545
2008,Other Agencies,02:26.4,PAMS,56425,1012950843
2008,Other Agencies,02:26.4,FRS&C,1,20520
2014,NASA,02:26.4,Products,6692,1616571793
2008,Defense,02:26.4,Products,40,2253671.27
2014,State and IAP,02:26.4,PAMS,100,16295534.6
1990,Defense,02:26.4,PAMS,NULL,561932000
2003,Other Agencies,02:26.4,ICT,10,191427
2008,Other Agencies,02:26.4,FRS&C,126,19099187.67
2002,Other Agencies,02:26.4,FRS&C,2,926000
2014,State and IAP,02:26.4,MED,1,25000
2013,Defense,02:26.4,ERS,50,47934770.7
2014,State and IAP,02:26.4,Products,31,4090991.38
2004,Other Agencies,02:26.4,FRS&C,3,148862.51
2007,DHS,02:26.4,PAMS,1207,632735500.3
2012,State and IAP,02:26.4,PAMS,449,58011316.72
2007,Other Agencies,02:26.4,MED,6,497565
2008,Other Agencies,02:26.4,FRS&C,4,24940
2013,Defense,02:26.4,PAMS,485,229560428.5
2008,Other Agencies,02:26.4,MED,273,9855928.05
2009,State and IAP,02:26.4,Products,203,11704657.9
2013,Other Agencies,02:26.4,MED,2,10974.94
2009,Other Agencies,02:26.4,FRS&C,128,15293123.05
2003,DHS,02:26.4,FRS&C,2238,282853720.9
2011,Other Agencies,02:26.4,R&D,2,-7448.75
2007,Other Agencies,02:26.4,R&D,2,1647934.8
1999,Defense,02:26.4,MED,7,1356717
2011,Other Agencies,02:26.4,PAMS,7797,2638070537
2007,Other Agencies,02:26.4,ICT,1,75000
2004,Other Agencies,02:26.4,MED,1470,319343737.8
2004,Other Agencies,02:26.4,FRS&C,9,3254041
2013,Other Agencies,02:26.4,Products,19,579604.13
2002,Other Agencies,02:26.4,FRS&C,8,2301000
2010,Other Agencies,02:26.4,R&D,5,27322.96
2014,Other Agencies,02:26.4,ERS,5926,62886795.12
2004,Other Agencies,02:26.4,NULL,14,1615893.99
2009,Energy,02:26.4,ICT,924,295993287.3
2006,Other Agencies,02:26.4,PAMS,458,40921166.48
2000,Other Agencies,02:26.4,ICT,28,14959000
2005,State and IAP,02:26.4,MED,484,19192670.15
2008,DHS,02:26.4,NULL,115,826887.84
2008,DHS,02:26.4,NULL,45,107741.92
2006,Other Agencies,02:26.4,ICT,4197,1011984803
2008,Other Agencies,02:26.4,R&D,1,8000
2011,Other Agencies,02:26.4,Products,128,4248151.77
2006,Other Agencies,02:26.4,ERS,499,23483658.72
2013,Other Agencies,02:26.4,FRS&C,3,88223
2009,Other Agencies,02:26.4,ERS,47,541884.76
2004,Energy,02:26.4,NULL,34,2693616.6
1999,Defense,02:26.4,MED,1502,617149868
2002,Defense,02:26.4,FRS&C,46547,11736379068
2002,Defense,02:26.4,ERS,657,308997935.2
2002,Other Agencies,02:26.4,Fuel,70,3375276.57
2000,Other Agencies,02:26.4,R&D,22,3367600
2002,Other Agencies,02:26.4,PAMS,3924,628458468
2007,State and IAP,02:26.4,Products,289,17586532.29
2008,Other Agencies,02:26.4,R&D,850,48896745.6
2012,State and IAP,02:26.4,Products,40225,1291803616
2014,Other Agencies,02:26.4,ERS,1614,43584549.81
1995,Defense,02:26.4,PAMS,15701,4059578853
2009,Other Agencies,02:26.4,R&D,3,15940.08
2008,Other Agencies,02:26.4,NULL,486,4186796.32
2009,Other Agencies,02:26.4,Products,14,213658.04
2008,Other Agencies,02:26.4,PAMS,521,155966780.1
2003,DHS,02:26.4,FRS&C,226,14252723
2004,Other Agencies,02:26.4,ERS,16,6527811.78
2014,Other Agencies,02:26.4,Products,675,16289946.02
2005,Other Agencies,02:26.4,ICT,58,9000866.72
2013,State and IAP,02:26.4,R&D,141,95021911.82
2013,Other Agencies,02:26.4,ICT,13,978768.86
2006,DHS,02:26.4,Fuel,6,3558525
2005,Other Agencies,02:26.4,NULL,60,5041646.13
2011,Other Agencies,02:26.4,Products,12,144253.44
2009,Other Agencies,02:26.4,R&D,70,6739668.88
2011,Defense,02:26.4,Products,187060,48858737989
2002,Other Agencies,02:26.4,Products,20825,1121249892
2005,Other Agencies,02:26.4,PAMS,213,25888443.79
2007,Other Agencies,02:26.4,PAMS,122,632460.13
2000,Other Agencies,02:26.4,PAMS,2753,336145134
1993,Defense,02:26.4,Fuel,NULL,52125868
2014,Other Agencies,02:26.4,PAMS,225,12359414.28
2005,Other Agencies,02:26.4,FRS&C,38,11854026.64
2006,Other Agencies,02:26.4,ICT,3387,556351134.9
2010,Defense,02:26.4,PAMS,33956,11226642728
1995,Defense,02:26.4,FRS&C,1,122889
2009,Other Agencies,02:26.4,FRS&C,24,254253.98
2013,Defense,02:26.4,FRS&C,22307,3930450881
2004,Other Agencies,02:26.4,FRS&C,8,36649374
1994,Defense,02:26.4,Products,22984,21091352120
2007,NASA,02:26.4,Products,7413,1406690833
2006,DHS,02:26.4,Fuel,110,5905192.92
2002,Other Agencies,02:26.4,PAMS,9496,605570184.3
2008,DHS,02:26.4,ERS,5549,206908662.1
2005,Other Agencies,02:26.4,MED,1643,35614250.93
