fiscal_year,Customer,Query_Run,ServicesCategory,SumOfnumberOfActions,SumOfobligatedAmount
2013,Other Agencies,02:26.4,FRS&C,271,148273042.5
2000,Other Agencies,02:26.4,NULL,116,191535.74
2014,Other Agencies,02:26.4,R&D,1,59600
2009,Other Agencies,02:26.4,Products,1902777,5937646949
1994,Defense,02:26.4,ERS,9470,4124609199
2001,Other Agencies,02:26.4,Products,189,127538061
2002,Other Agencies,02:26.4,PAMS,1117,514204711
2013,Other Agencies,02:26.4,PAMS,133,8347380.42
1990,Defense,02:26.4,Fuel,NULL,11136000
2004,Other Agencies,02:26.4,FRS&C,2,56946.7
2009,Other Agencies,02:26.4,PAMS,7,543487.12
2007,Other Agencies,02:26.4,ERS,2,14920
2008,Defense,02:26.4,MED,10639,928313474.2
1994,Other Agencies,02:26.4,ERS,19,1019689
2009,Other Agencies,02:26.4,ERS,73,1638583.52
2001,Other Agencies,02:26.4,Products,4326,401195411.8
2013,Other Agencies,02:26.4,ERS,14,193526
2014,NASA,02:26.4,PAMS,7340,2525806390
2005,Defense,02:26.4,ERS,3007,181893434.2
2001,Other Agencies,02:26.4,PAMS,34,2406000
2013,Defense,02:26.4,ERS,14352,7806189134
2010,DHS,02:26.4,PAMS,1061,560227791.5
2003,DHS,02:26.4,ERS,11,502222
2002,Other Agencies,02:26.4,R&D,46,77276050
2000,Other Agencies,02:26.4,NULL,118,30000
2005,Other Agencies,02:26.4,MED,4,568491.56
2007,Other Agencies,02:26.4,NULL,2,10524.92
2006,Other Agencies,02:26.4,NULL,1,16920
2008,Other Agencies,02:26.4,MED,17,451712.78
2010,Defense,02:26.4,R&D,17072,8529727526
1994,Defense,02:26.4,ICT,3965,1359381135
2003,Defense,02:26.4,Products,27356,25153648202
2007,Other Agencies,02:26.4,ICT,337,225733696.6
2012,DHS,02:26.4,ICT,452,203413361.4
2002,Other Agencies,02:26.4,Products,108,45102590
2014,Other Agencies,02:26.4,Products,181,5281846.4
2000,Other Agencies,02:26.4,R&D,700,88071097.79
2002,Defense,02:26.4,MED,352,4180571837
2001,Other Agencies,02:26.4,ICT,2320,458201277.9
2003,Defense,02:26.4,Products,105814,25181519609
2009,Other Agencies,02:26.4,R&D,2,7944
2009,Other Agencies,02:26.4,FRS&C,5,332067.72
2006,DHS,02:26.4,FRS&C,70,23182255.1
2009,Other Agencies,02:26.4,R&D,1916,85975595.19
2011,Defense,02:26.4,Products,419,1459845713
