fiscal_year,Query_Run,SubCustomer,ServicesCategory,SumOfobligatedAmount,SumOfnumberOfActions
2012,04:31.0,Air Force,Products,29395388923,74714
2012,04:31.0,Other DoD,ICT,4977566223,71483
1997,04:31.0,Navy,R&D,4881240005,8180
2011,04:31.0,Air Force,MED,369765746.6,4491
2013,04:31.0,MDA,ICT,51452252.48,79
2013,04:31.0,Air Force,ICT,1840576109,7455
2013,04:31.0,Navy,R&D,9583039280,13511
1999,04:31.0,Air Force,R&D,8057954094,5961
2013,04:31.0,MilitaryHealth,PAMS,229560428.5,485
1993,04:31.0,Air Force,ERS,2156581041,NULL
1999,04:31.0,Other DoD,ICT,1749420418,4618
1994,04:31.0,Navy,PAMS,5631896098,19387
1995,04:31.0,Army,Products,9523338251,20461
1990,04:31.0,Air Force,Fuel,94663000,NULL
2011,04:31.0,Army,Fuel,377862987,1826
2012,04:31.0,Air Force,MED,377854265.4,5018
2005,04:31.0,Navy,ERS,6149543728,43616
2005,04:31.0,Army,FRS&C,18875375812,89876
2006,04:31.0,MilitaryHealth,ERS,155072.32,9
1991,04:31.0,Other DoD,FRS&C,38480000,NULL
2011,04:31.0,MilitaryHealth,MED,11757137550,1298
1995,04:31.0,DLA,ERS,5075093,42
2012,04:31.0,DLA,ICT,486827776.9,1340
2012,04:31.0,Other DoD,MED,10256456.24,110
1997,04:31.0,Air Force,MED,15951807,136
2009,04:31.0,Navy,NULL,48177.34,2
2012,04:31.0,Army,Fuel,482982505.7,1683
2002,04:31.0,Other DoD,ICT,2632332399,9490
2007,04:31.0,Navy,MED,455573291.4,4512
1999,04:31.0,MDA,ICT,3990337,8
2014,04:31.0,MilitaryHealth,R&D,16245341.99,10
2011,04:31.0,DLA,Fuel,13589074991,2595
1994,04:31.0,DLA,Fuel,4485877864,1029
2003,04:31.0,Navy,Fuel,10140129.96,225
2009,04:31.0,MilitaryHealth,ICT,147688.88,10
1992,04:31.0,Air Force,Products,18889790267,NULL
2010,04:31.0,MilitaryHealth,ICT,292971.48,7
1992,04:31.0,Navy,MED,205396306,NULL
2006,04:31.0,Navy,MED,424748496.5,4785
2013,04:31.0,MilitaryHealth,R&D,20329280.25,28
