TableName,AccountDSI,BudgetActivity,BudgetActivityTitle,BSA,BSAtitle,LineItem,LineItemTitle,CostType,CostTypeTitle,ProcurementCategory,Classified,FiscalYear,OriginType,PBtotal,PBtotal,PBtype,EnactedTotal,EnactedType,SpecialType,ActualTotal,QuantPBtotal,QuantPBtype,QuantEnactedTotal,QuantEnactedType,QuantSpecialType,QuantActualTotal
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2015,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2015,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2015,Total,689668,689668,0,0,0,0,0,2,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2016,Total,926942,926942,0,0,0,0,0,4,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2016,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2009,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2010,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2010,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2010,OCO.Sup,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2011,CR.OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2011,Total,0,0,0,0,0,0,553521,0,0,0,0,0,3
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2011,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2011,CR,0,0,0,0,0,2300548,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2011,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2011,Total,2289816,2289816,0,0,0,0,0,13,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2011,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2012,Total,0,0,0,0,0,0,1426589,0,0,0,0,0,6
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2012,Total,0,0,0,1426616,0,0,0,0,0,6,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2012,Total,1428259,1428259,0,0,0,0,0,6,0,0,0,0,0
