"Fiscal.Year","Pricing.Mechanism","ProductOrServiceArea","SubCustomer","Query_Run","Action.Obligation","SumOfnumberOfActions","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Pricing.Mechanism.Code","Pricing.Mechanism.detail","Pricing.Mechanism.sum","Pricing.Mechanism.hypothesis","Pricing.Mechanism.Incentive","Pricing.Mechanism.Correlation","IsCostBased","IsFixedPrice","IsIncentive","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation"
2012-09-30,"Combination (two or more)","R&D","Air Force","08:22.5",358126.13,22,"Air Force","Air Force","Air Force",FALSE,"R&D","R&D","R&D","Other Services","2","Combination","Combination","Unlabeled","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.00036534740187977,0.000368783987230975,5.55403600964861
2012-09-30,"Fixed Price Incentive","R&D","Air Force","08:22.5",141105977.4,102,"Air Force","Air Force","Air Force",FALSE,"R&D","R&D","R&D","Other Services","L","Fixed Price (Other)","Fixed","Fixed","TRUE","Fixed",1,"Other",1,0.980234506,1,1.023166361,1.1704,0.9711,0.143951244866705,0.145305300586963,8.1495454113224
2012-09-30,"Cost No Fee","Aircraft","Air Force","08:22.5",44547010.58,268,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Aircraft","Aircraft","S","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.0454452585655049,0.0458727325507157,7.64881856511428
2012-09-30,"Fixed Price Incentive","Electronics & Communications","Air Force","08:22.5",-561246.69,6,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","L","Fixed Price (Other)","Fixed","Fixed","TRUE","Fixed",1,"Other",1,0.980234506,1,1.023166361,1.1704,0.9711,-0.000572563694263585,-0.000577949428483163,NA
2012-09-30,"Not Reported","Electronics & Communications","Air Force","08:22.5",-25463.88,3,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.980234506,1,1.023166361,1.1704,0.9711,-2.59773348562369e-05,-2.6221686746988e-05,NA
2012-09-30,"Cost Plus Incentive","Engines & Power Plants","Air Force","08:22.5",118715104.7,45,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Engines & Power Plants","Engines & Power Pl.","V","Cost (Plus Incentive)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.121108881572059,0.122248074039749,8.07450597986883
2012-09-30,"Cost Plus Fixed Fee","Aircraft","Air Force","08:22.5",916587677.5,427,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Aircraft","Aircraft","U","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.93506979390093,0.943865387189785,8.96217401434263
2012-09-30,"Fixed Price with Economic Price Adjustment","Aircraft","Air Force","08:22.5",596659.49,33,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Aircraft","Aircraft","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.980234506,1,1.023166361,1.1704,0.9711,0.000608690559603704,0.000614416115745031,5.7757265525639
2012-09-30,"Fixed Price Level of Effort","Electronics & Communications","Air Force","08:22.5",2201605,14,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","B","Fixed Price (Other)","Fixed","Other","FALSE","Fixed",1,"Other",1,0.980234506,1,1.023166361,1.1704,0.9711,0.00224599826523552,0.00226712490989599,6.34273940286989
2012-09-30,"Cost Plus Award Fee","ERS","Air Force","08:22.5",564915795.4,186,"Air Force","Air Force","Air Force",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.576306783674885,0.581727726701678,8.75198371805223
